Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
fastqc | CL08 - polya	(1, 0.0037102845182399795)	(2, 0.006252418263079268)	(3, 0.007782366869113597)	(4, 0.011389735288334623)	(5, 0.01305761268686858)	(6, 0.014679867484806507)	(7, 0.016694688846012603)	(8, 0.020517438379675356)	(9, 0.026701953237216344)	(10, 0.03266153806391179)	(11, 0.03460951701029114)	(12, 0.03681425570886211)	(13, 0.0394338417756435)	(14, 0.04261787490096182)	(15, 0.04461572041078335)	(16, 0.04695838790185394)	(17, 0.04877056003715674)	(18, 0.050592281088863364)	(19, 0.0523906603449162)	(20, 0.0541253801582769)	(21, 0.05641818108590532)	(22, 0.05848499099197666)	(23, 0.06094648944273924)	(24, 0.06314167922490639)	(25, 0.06530503928572748)	(26, 0.06839888820056526)	(27, 0.07097603463888523)	(28, 0.07406033463731922)	(29, 0.07677965383098494)	(30, 0.07983106311736132)	(31, 0.08302782813121806)	(32, 0.0853567027430387)	(33, 0.08767708942916705)	(34, 0.09014495382419885)	(35, 0.09238046125340435)	(36, 0.09420430428653404)	(37, 0.09619153988924022)	(38, 0.09819256837119635)	(39, 0.09993683710096087)	(40, 0.10228693152701221)	(41, 0.10433570459098744)	(42, 0.10692770489926891)	(43, 0.10943800892276212)	(44, 0.11215308415358172)	(45, 0.11469627888913254)	(46, 0.11701242161241475)	(47, 0.11935721108490842)	(48, 0.12134656866903766)	(49, 0.12306643461243685)	(50, 0.12489876557125883)	(51, 0.12650510550852373)	(52, 0.12832364358809573)	(53, 0.13035968476353255)	(54, 0.13254108166644973)	(55, 0.1346439652567133)	(56, 0.1364115757821316)	(57, 0.1383192370814726)	(58, 0.13988101540885298)	(59, 0.14130274296231068)	(60, 0.14277752005134517)	(61, 0.14427988289887955)	(62, 0.1461376776347784)	(63, 0.14756683212321683)	(64, 0.14756683212321683)
fastqc | CL10 - polya	(1, 0.002611872205360757)	(2, 0.00587089278245974)	(3, 0.007941146806197856)	(4, 0.012717939823488652)	(5, 0.014764915128818919)	(6, 0.016774644484696625)	(7, 0.019346166911483775)	(8, 0.024046916115308927)	(9, 0.03191201910804114)	(10, 0.039356553254871536)	(11, 0.04171701530142751)	(12, 0.04450115002300636)	(13, 0.047663951897352896)	(14, 0.05132957408930899)	(15, 0.053842123762796255)	(16, 0.05672558101624859)	(17, 0.058955682239720614)	(18, 0.06124010047281095)	(19, 0.0634795131836461)	(20, 0.06590981138542563)	(21, 0.06869704993612552)	(22, 0.07136634298022565)	(23, 0.07421565811334647)	(24, 0.07687719158464397)	(25, 0.07986462711365137)	(26, 0.08406100408530645)	(27, 0.08794699814485685)	(28, 0.09237616230059043)	(29, 0.09607127086919647)	(30, 0.10039024909113288)	(31, 0.1042638278341991)	(32, 0.10728850931265906)	(33, 0.11042027289579513)	(34, 0.1139244959734568)	(35, 0.11751407435194725)	(36, 0.12014922527571585)	(37, 0.12276109748107661)	(38, 0.12549712285127923)	(39, 0.12806554144894533)	(40, 0.1312500701271392)	(41, 0.13393953806052614)	(42, 0.13719390289394354)	(43, 0.14036601625565323)	(44, 0.14398973675447518)	(45, 0.1474691291991685)	(46, 0.15086006251391196)	(47, 0.1540507988503479)	(48, 0.15679303187879262)	(49, 0.15907745011188296)	(50, 0.161476710022452)	(51, 0.16355472361899276)	(52, 0.1657615461240569)	(53, 0.16815770220550494)	(54, 0.1710101211677468)	(55, 0.173851676728065)	(56, 0.17628973450264715)	(57, 0.17881780332173966)	(58, 0.18091288797844615)	(59, 0.18290865010327914)	(60, 0.18489975648443058)	(61, 0.18699484114113704)	(62, 0.1892808112887879)	(63, 0.19116017982158165)	(64, 0.19116017982158165)
fastqc | CL11 - polya	(1, 0.004873870022642742)	(2, 0.009658270869425957)	(3, 0.012618087211795217)	(4, 0.018958665035413807)	(5, 0.021604605908374236)	(6, 0.024162544313276114)	(7, 0.027446503079661035)	(8, 0.03397921962520746)	(9, 0.04496779447011851)	(10, 0.05526114981736701)	(11, 0.058325102413605556)	(12, 0.06213120915713788)	(13, 0.06663400210613374)	(14, 0.07161934192165063)	(15, 0.07497223595468143)	(16, 0.07910541853783136)	(17, 0.08240257767442508)	(18, 0.0856073342195573)	(19, 0.08893382751217052)	(20, 0.09233218948703156)	(21, 0.09656070807724493)	(22, 0.1007408253100261)	(23, 0.1062307126090787)	(24, 0.1113377891720766)	(25, 0.11633339594220034)	(26, 0.1241142808263772)	(27, 0.1304665923124036)	(28, 0.13821080950155606)	(29, 0.14439591629827123)	(30, 0.15107530362391525)	(31, 0.15955287471355564)	(32, 0.16399699935051246)	(33, 0.16907327504968986)	(34, 0.17415541758007116)	(35, 0.17949423397562325)	(36, 0.18330620755035948)	(37, 0.18722085067116404)	(38, 0.19119562881180857)	(39, 0.1948447978206365)	(40, 0.19984187129856118)	(41, 0.20395451997249747)	(42, 0.20892812612560657)	(43, 0.21344558615261217)	(44, 0.21835465716247834)	(45, 0.22318599265889277)	(46, 0.22766825169867497)	(47, 0.23309360385448463)	(48, 0.23777680186300051)	(49, 0.24161077605475137)	(50, 0.24524527798556953)	(51, 0.24862163934341594)	(52, 0.2520860031693209)	(53, 0.25548729855978386)	(54, 0.25960141394152114)	(55, 0.2638798005969677)	(56, 0.26752456948239267)	(57, 0.2716430849875328)	(58, 0.27492117692271384)	(59, 0.27808193223381683)	(60, 0.2811634853236671)	(61, 0.2843183738035661)	(62, 0.2877798042138691)	(63, 0.2905680157435242)	(64, 0.2905680157435242)
fastqc | CL12 - polya	(1, 0.004885673036041963)	(2, 0.009029706906916983)	(3, 0.011790490851237859)	(4, 0.017827919507943706)	(5, 0.020267183582972553)	(6, 0.02273502720193847)	(7, 0.02589449578418146)	(8, 0.03169042729461907)	(9, 0.041959057431208)	(10, 0.051694679073370595)	(11, 0.05449404540200651)	(12, 0.05786357363218696)	(13, 0.062053334773361286)	(14, 0.0671647862065061)	(15, 0.07039284569419806)	(16, 0.0742968113960017)	(17, 0.07737482827802403)	(18, 0.08034281391588866)	(19, 0.083586592152746)	(20, 0.0866231686960596)	(21, 0.09039709747294956)	(22, 0.09410529329878428)	(23, 0.09839651182093521)	(24, 0.10259770477968437)	(25, 0.10682319035078003)	(26, 0.11353795419879442)	(27, 0.11914097378765681)	(28, 0.12531987118685115)	(29, 0.1307614163524691)	(30, 0.13641873707481195)	(31, 0.14213321688502892)	(32, 0.14624867121196686)	(33, 0.15076852608561433)	(34, 0.15509832699208032)	(35, 0.15970106254314528)	(36, 0.1631177470208219)	(37, 0.16671448262530206)	(38, 0.17031121822978218)	(39, 0.17356357032982064)	(40, 0.17798768373127896)	(41, 0.18147010116001083)	(42, 0.18626146170106045)	(43, 0.19067271430774707)	(44, 0.1955040862103086)	(45, 0.19998107176805047)	(46, 0.20432373346928812)	(47, 0.2086378156265887)	(48, 0.21238030690514792)	(49, 0.21559979252965875)	(50, 0.21898218155461088)	(51, 0.22190443992217618)	(52, 0.2250539056640412)	(53, 0.22828482310612686)	(54, 0.23213877460604063)	(55, 0.2359312800864897)	(56, 0.23926937081833938)	(57, 0.2428946859667566)	(58, 0.24587124546780234)	(59, 0.24849770555561898)	(60, 0.25120561734365626)	(61, 0.2540449950338041)	(62, 0.2573387874725513)	(63, 0.25991094642688756)	(64, 0.25991094642688756)
fastqc | CL13 - polya	(1, 0.004932230227060868)	(2, 0.010997246572542311)	(3, 0.014259160802355631)	(4, 0.022034976566920963)	(5, 0.02512596079342529)	(6, 0.02818021006307812)	(7, 0.031785483685503366)	(8, 0.03858444947501773)	(9, 0.05092739497711989)	(10, 0.06203034826223487)	(11, 0.06546094341636628)	(12, 0.069372091781555)	(13, 0.07413938954928262)	(14, 0.0797253520697007)	(15, 0.08383741815807717)	(16, 0.08841654298356552)	(17, 0.0923771710865542)	(18, 0.09630256361868533)	(19, 0.1000000494797378)	(20, 0.10428754372940509)	(21, 0.10924826229035078)	(22, 0.11472476963321135)	(23, 0.12097945830692602)	(24, 0.12678433118245913)	(25, 0.1329265659066284)	(26, 0.14284425456353497)	(27, 0.1497174399597493)	(28, 0.15801504205020522)	(29, 0.16376068917897776)	(30, 0.16967426753907142)	(31, 0.17573628511256498)	(32, 0.18031690932404726)	(33, 0.18569220811231696)	(34, 0.19136888348536832)	(35, 0.19672019209773503)	(36, 0.20101143481238715)	(37, 0.20563329213870274)	(38, 0.21008871761969114)	(39, 0.21423976774391004)	(40, 0.21976350574557965)	(41, 0.2243351336410983)	(42, 0.23004554519901327)	(43, 0.2348495779235924)	(44, 0.2400959295163834)	(45, 0.24495468982974128)	(46, 0.2500953347099596)	(47, 0.25490386559252054)	(48, 0.2588187624226941)	(49, 0.26250950104677384)	(50, 0.2663336850243141)	(51, 0.2698467464081121)	(52, 0.2736281978848252)	(53, 0.27751085791612906)	(54, 0.2819962711169962)	(55, 0.2864307051940695)	(56, 0.2900929554842644)	(57, 0.29452439078934983)	(58, 0.29794898839950545)	(59, 0.30129186947299147)	(60, 0.3044690683941473)	(61, 0.30786292859142717)	(62, 0.3117418401577462)	(63, 0.3151679371538958)	(64, 0.3151679371538958)
fastqc | HS01 - polya	(1, 0.0013244907469308208)	(2, 0.004249268802705849)	(3, 0.0063244155145218955)	(4, 0.012437535275964987)	(5, 0.015307821269103902)	(6, 0.01826040139765246)	(7, 0.021792376722801314)	(8, 0.027478456646443033)	(9, 0.03671764147054148)	(10, 0.047121177102395245)	(11, 0.05016717219546285)	(12, 0.05339554888592479)	(13, 0.05685968715350624)	(14, 0.0611145163707668)	(15, 0.06388471490192102)	(16, 0.06717425615248472)	(17, 0.0700868012962394)	(18, 0.0728836898172562)	(19, 0.07520349476947928)	(20, 0.07801261620251644)	(21, 0.08123209622969085)	(22, 0.08455166371884996)	(23, 0.08798466366492506)	(24, 0.09098617544155502)	(25, 0.09438247665156907)	(26, 0.09906879403827476)	(27, 0.10321019079861932)	(28, 0.10887958947859692)	(29, 0.113237842406575)	(30, 0.1176995190452706)	(31, 0.12147059219627178)	(32, 0.12489247131323747)	(33, 0.1284211103896535)	(34, 0.13261255088099042)	(35, 0.13717987539622542)	(36, 0.14066736740493663)	(37, 0.14404476320546467)	(38, 0.1470262574896977)	(39, 0.15019235753714694)	(40, 0.15421031309437705)	(41, 0.15744425019939368)	(42, 0.16117417628269004)	(43, 0.16471838451985926)	(44, 0.16836824063356787)	(45, 0.17203032965929682)	(46, 0.1762150976531681)	(47, 0.1796747875891058)	(48, 0.18266851478535917)	(49, 0.18566557823034535)	(50, 0.18832568055331642)	(51, 0.19081007377635878)	(52, 0.193429029031625)	(53, 0.1960579930330897)	(54, 0.19937311219060505)	(55, 0.2026559809437031)	(56, 0.20557075025327967)	(57, 0.20865121991658644)	(58, 0.21130798599082468)	(59, 0.21394918290430973)	(60, 0.21645359361974903)	(61, 0.21893131434532576)	(62, 0.2214123713196353)	(63, 0.22367768420922224)	(64, 0.22367768420922224)
fastqc | HS02 - polya	(1, 0.008985148700896757)	(2, 0.014283202394114236)	(3, 0.017460140757071276)	(4, 0.023934750610042594)	(5, 0.026801570548597716)	(6, 0.029305007447872733)	(7, 0.03260267893788701)	(8, 0.039127002431411304)	(9, 0.050546935861295626)	(10, 0.061506426287010696)	(11, 0.06500058502302009)	(12, 0.06891612604562138)	(13, 0.0736981048035746)	(14, 0.07952880464557399)	(15, 0.08354022197495604)	(16, 0.08792330795037703)	(17, 0.09202231597978099)	(18, 0.09596034650644197)	(19, 0.09924144678293859)	(20, 0.10334755676099297)	(21, 0.10783480464995353)	(22, 0.11267596631332696)	(23, 0.1181018550822521)	(24, 0.12264118392798246)	(25, 0.12769422039276024)	(26, 0.13452747865257805)	(27, 0.140561767689223)	(28, 0.14749090225582154)	(29, 0.15299017782746774)	(30, 0.15858414604778628)	(31, 0.1632785341057176)	(32, 0.16751839745002167)	(33, 0.1723074781566253)	(34, 0.17761973574714365)	(35, 0.18287044311602496)	(36, 0.1874109556198637)	(37, 0.19181061280880235)	(38, 0.19580309160844991)	(39, 0.19980030504053112)	(40, 0.20494685049587286)	(41, 0.20930389599290894)	(42, 0.21402669184544196)	(43, 0.2185956121438824)	(44, 0.22327697996262125)	(45, 0.22807671359220055)	(46, 0.23280779505149238)	(47, 0.23721573784718986)	(48, 0.24085193555620776)	(49, 0.2446692329558115)	(50, 0.2481657590080377)	(51, 0.2516670196926975)	(52, 0.2553067683760406)	(53, 0.25904594434048966)	(54, 0.2634491525037535)	(55, 0.2678831357778359)	(56, 0.2717087187841985)	(57, 0.27567634076356956)	(58, 0.2791420917049772)	(59, 0.282736861380201)	(60, 0.28602624726345643)	(61, 0.28945057017106995)	(62, 0.2932027663747115)	(63, 0.2968188418958865)	(64, 0.2968188418958865)
fastqc | HS03 - polya	(1, 0.0015613474055910263)	(2, 0.006189664765464223)	(3, 0.009229297997493622)	(4, 0.018966428181452204)	(5, 0.02295443539317393)	(6, 0.02729571716939302)	(7, 0.03202497011912261)	(8, 0.04003778397636787)	(9, 0.05294492252925368)	(10, 0.06898316719247626)	(11, 0.07322141055405028)	(12, 0.077813979892516)	(13, 0.08277349215660548)	(14, 0.08791595017730966)	(15, 0.09178199355128824)	(16, 0.09622000526778637)	(17, 0.09999037011388026)	(18, 0.10393421800503982)	(19, 0.10732922862635526)	(20, 0.11148861605835397)	(21, 0.11629987917484189)	(22, 0.12090401404964532)	(23, 0.12584775512781973)	(24, 0.1301627515941804)	(25, 0.1350612819393983)	(26, 0.1418828455538593)	(27, 0.14788746173792014)	(28, 0.15686442076077278)	(29, 0.1632959103769346)	(30, 0.16965274971309846)	(31, 0.17492663428309482)	(32, 0.17951289514719454)	(33, 0.1847142322619816)	(34, 0.19062422133055207)	(35, 0.1979388973579573)	(36, 0.2031654683702085)	(37, 0.20746889930023144)	(38, 0.21163985226856785)	(39, 0.2162187532459072)	(40, 0.22230432818433202)	(41, 0.22682329865519413)	(42, 0.23229905440490325)	(43, 0.2373920960430736)	(44, 0.2426733404998303)	(45, 0.24807549738193582)	(46, 0.2538393401276934)	(47, 0.2586611173681247)	(48, 0.2626796155392822)	(49, 0.26669495947325667)	(50, 0.2703612344923112)	(51, 0.2738361524555962)	(52, 0.2775276613721148)	(53, 0.2812359928869428)	(54, 0.2859862740845591)	(55, 0.2907512750556962)	(56, 0.2950410376245928)	(57, 0.2990637414453276)	(58, 0.30261541251339935)	(59, 0.30619757454090685)	(60, 0.3099132659424952)	(61, 0.31351225056831206)	(62, 0.3170050425423009)	(63, 0.3201729480864394)	(64, 0.3201729480864394)
fastqc | HS04 - polya	(1, 0.006826565678143044)	(2, 0.011202994379040964)	(3, 0.013706178976903034)	(4, 0.019186661281891112)	(5, 0.02161690540140488)	(6, 0.023692393558042833)	(7, 0.026258572205387524)	(8, 0.031715846176355686)	(9, 0.040946132163704026)	(10, 0.05010347767270407)	(11, 0.05302109680663602)	(12, 0.05606138856324465)	(13, 0.05988413272395321)	(14, 0.06431692452175664)	(15, 0.06764234723918135)	(16, 0.0714816687813327)	(17, 0.07501596650493662)	(18, 0.07834802017493846)	(19, 0.08121922264083058)	(20, 0.08488282393968831)	(21, 0.08878182405503372)	(22, 0.09283333607965286)	(23, 0.09731254454549611)	(24, 0.10116181251651314)	(25, 0.10525642573288355)	(26, 0.11087284256570254)	(27, 0.11589578914286948)	(28, 0.12144258097362874)	(29, 0.12577259300648683)	(30, 0.1303711586187182)	(31, 0.13452876588457122)	(32, 0.13819568265971752)	(33, 0.14219414706371972)	(34, 0.1464280102842096)	(35, 0.15086743303459013)	(36, 0.15460729028808473)	(37, 0.15836040944673355)	(38, 0.1617720345476608)	(39, 0.1652267608403393)	(40, 0.16972917764020246)	(41, 0.17335299322359748)	(42, 0.17732824929357976)	(43, 0.18117088631201966)	(44, 0.1850533090459223)	(45, 0.18926064845610371)	(46, 0.19337183905391692)	(47, 0.1969326605878293)	(48, 0.20008567853824893)	(49, 0.20321548815464865)	(50, 0.20608337514425223)	(51, 0.20879875022458208)	(52, 0.21191198245953902)	(53, 0.21503184564707306)	(54, 0.21891095290468712)	(55, 0.22249166729633088)	(56, 0.2255087507189196)	(57, 0.22875791748170743)	(58, 0.23162248899502244)	(59, 0.23459978670214846)	(60, 0.23734168559278676)	(61, 0.24072347140711697)	(62, 0.24409199531629297)	(63, 0.24796778709761846)	(64, 0.24796778709761846)
fastqc | HS04 - polyg	(1, 0.2033580536350567)	(2, 0.8100537442021851)	(3, 0.8113600418598774)	(4, 0.8118010002062558)	(5, 0.8121325478351117)	(6, 0.8126431311835498)	(7, 0.8130078335752913)	(8, 0.8135681490680577)	(9, 0.8139759526515505)	(10, 0.814536268144317)	(11, 0.8148777622020386)	(12, 0.8153386134061482)	(13, 0.8159586074721088)	(14, 0.8167079051133231)	(15, 0.816949934882388)	(16, 0.8172019110803185)	(17, 0.817762226573085)	(18, 0.8180374111050354)	(19, 0.8182562325400802)	(20, 0.8184385837359509)	(21, 0.8185844646926476)	(22, 0.8188430718431552)	(23, 0.8191414647091255)	(24, 0.8195293754348869)	(25, 0.8198775004451856)	(26, 0.8202853040286784)	(27, 0.8207892564245393)	(28, 0.8212434766760719)	(29, 0.8216148100203905)	(30, 0.8220657147956345)	(31, 0.8224900957605701)	(32, 0.8229874172038539)	(33, 0.823580887459506)	(34, 0.8243832327213373)	(35, 0.825016488692452)	(36, 0.8255569113274872)	(37, 0.8259846077687113)	(38, 0.8266377565975574)	(39, 0.827287589950115)	(40, 0.8278644828243242)	(41, 0.8286137804655386)	(42, 0.8292072507211907)	(43, 0.8298769769314797)	(44, 0.8304969709974401)	(45, 0.8312595305438087)	(46, 0.8321215543788341)	(47, 0.8331261436942675)	(48, 0.8339185425272331)	(49, 0.8346811020736017)	(50, 0.8357055842467664)	(51, 0.8369256795209561)	(52, 0.8385270545683301)	(53, 0.8400654355662215)	(54, 0.8409075665435155)	(55, 0.8420381439579141)	(56, 0.8431256201805615)	(57, 0.8442661440238258)	(58, 0.8453735131042045)	(59, 0.8469052631495187)	(60, 0.848543108436067)	(61, 0.8498858763329333)	(62, 0.8512551680401083)	(63, 0.8524885252194522)	(64, 0.8536356800152937)
