Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
fastqc | CL08	0.40733555397274607	4.385287869909638
fastqc | CL10	0.2649319903706185	1.8409974452848081
fastqc | CL11	0.45236788680817486	3.555424379728538
fastqc | CL12	0.3692562815301139	3.2421363420581586
fastqc | CL13	0.5283963690448943	2.3179120534245623
fastqc | HS01	0.2783309988674214	3.7588491356441223
fastqc | HS02	0.4017288273599731	1.94510892051505
fastqc | HS03	0.25976299755739024	2.088048238884765
fastqc | HS04	0.5992358689178707	1.8593721502445213
fastqc | HS05	4.0531184292729145	7.506158192960595
