Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
fastqc | CL08	(1, 0.040728250443716925)	(2, 0.0101282173323188)	(3, 0.009358999066455492)	(4, 0.009315498447282532)	(5, 0.009307010521590248)	(6, 0.025465899058277373)	(7, 0.009397194732070775)	(8, 0.009494805877532049)	(9, 0.009380218880686205)	(10, 0.009438573369820662)	(11, 0.009794005258185088)	(12, 0.009365365010724706)	(13, 0.009541489468839615)	(14, 0.009431146434839912)	(15, 0.009965885753453854)	(16, 0.00964440556785857)	(17, 0.00985342073803108)	(18, 0.009757931573992877)	(19, 0.009513903710339689)	(20, 0.009719735908377596)	(21, 0.00959347801370486)	(22, 0.010068801852472806)	(23, 0.00995209287420389)	(24, 0.009625307735050928)	(25, 0.010041216093972882)	(26, 0.012172746433447894)	(27, 0.014124969342673389)	(28, 0.013929747051750839)	(29, 0.012567434978139135)	(30, 0.010935631263797388)	(31, 0.010360574298145095)	(32, 0.011403528167584586)	(33, 0.011362149529834697)	(34, 0.013014112067695621)	(35, 0.013043819807618618)	(36, 0.0030771988657699646)	(37, 0.0018399776138179219)	(38, 0.0012892787936781792)	(39, 0.0019122003347560302)	(40, 0.0008383311577224886)	(41, 0.0004170544273537615)	(42, 0.0005953559624278811)	(43, 0.00013159847767730046)	(44, 0.00028761678661047275)	(45, 0.0003831494277992316)	(46, 0.0004213757261513758)	(47, 0.0005657523962877939)	(48, 0.000924573093500559)	(49, 0.0005541434334247301)	(50, 0.0014342994353913714)	(51, 0.0004873438759651864)	(52, 0.0005755254143528138)	(53, 0.00013593163683641587)	(54, 0.00022303842010968773)	(55, 0.00041107806742151926)	(56, 0.00020184775042753742)	(57, 0.0005811935767420909)	(58, 0.0001604647978702517)	(59, 0.00017112301465948158)	(60, 0.0005049732530019756)	(61, 0.00029242224232055064)	(62, 0.0005307603546266269)	(63, 0.00018832379290673008)	(64, 0.0001926460837914248)	(65, 0.0004046099813193701)	(66, 0.0002002616631673604)	(67, 9.591474176969988e-05)	(68, 0.00012048722560313879)	(69, 0.00015363077531691148)	(70, 0.0012021426195740358)	(71, 0.0006757583971267436)	(72, 0.0011044774248249087)	(73, 0.0008095580658523116)	(74, 0.00028741150848939106)	(75, 0.00045291749387436686)
fastqc | CL10	(1, 0.038963918871059135)	(2, 0.008487420731502068)	(3, 0.007782851521024477)	(4, 0.007740949827890348)	(5, 0.0077331902550877305)	(6, 0.02371170257023589)	(7, 0.007861999163611168)	(8, 0.00791010851498739)	(9, 0.007820097470477036)	(10, 0.007883725967458495)	(11, 0.008194108879563159)	(12, 0.007804578324871804)	(13, 0.007958217866363613)	(14, 0.007827857043279653)	(15, 0.008440863294686367)	(16, 0.00806840380016077)	(17, 0.008263945034786708)	(18, 0.00814755144274746)	(19, 0.00796132169548466)	(20, 0.008178589733957924)	(21, 0.008043573167192395)	(22, 0.008459486269412647)	(23, 0.008465693927654741)	(24, 0.008066851885600246)	(25, 0.008549497313923)	(26, 0.010543707524195473)	(27, 0.012447906689957593)	(28, 0.012289611404784214)	(29, 0.0110046261486709)	(30, 0.009344077568910942)	(31, 0.008763661523275219)	(32, 0.009773957902175903)	(33, 0.009836034484596837)	(34, 0.011431402652814816)	(35, 0.011457785200343712)	(36, 0.003111859571539929)	(37, 0.0018391981741620097)	(38, 0.0014248154677718849)	(39, 0.0020875883142983565)	(40, 0.0008785105713148262)	(41, 0.00045478608337200563)	(42, 0.000678316091014311)	(43, 0.00018316568007888044)	(44, 0.0003368476791404467)	(45, 0.00041757879432428147)	(46, 0.00047192454150124595)	(47, 0.000544906277439854)	(48, 0.0008647441422356004)	(49, 0.000593085949938236)	(50, 0.001484353094001271)	(51, 0.0005636553974872242)	(52, 0.0005621422215161798)	(53, 0.00015064091419342887)	(54, 0.0002671375577017125)	(55, 0.00039452949135130005)	(56, 0.0002252447478361747)	(57, 0.0005856988589079257)	(58, 0.00017712851372862513)	(59, 0.00018336809142844925)	(60, 0.0004973487194583785)	(61, 0.0003295509229780889)	(62, 0.00059703749064272)	(63, 0.00018972562051824734)	(64, 0.00019910335360200288)	(65, 0.00039053556507034345)	(66, 0.00018832167196774016)	(67, 0.0001245483545831249)	(68, 0.00011836186002112166)	(69, 0.00017449489181784104)	(70, 0.0012018572576114625)	(71, 0.0007211164193291978)	(72, 0.0011776203522903814)	(73, 0.0008715638873090241)	(74, 0.00031636138306219625)	(75, 0.00048407089301533433)
fastqc | CL11	(1, 0.04297013844518941)	(2, 0.011666193848961892)	(3, 0.01092550640946909)	(4, 0.010880038467638837)	(5, 0.010871238220832982)	(6, 0.02707395929821317)	(7, 0.010975374474702268)	(8, 0.011051643280353012)	(9, 0.010962174104493485)	(10, 0.01102084241653252)	(11, 0.011390452782378433)	(12, 0.010948973734284703)	(13, 0.011086844267576433)	(14, 0.01098857484491105)	(15, 0.011595791874515052)	(16, 0.011207114307256452)	(17, 0.011501922575252597)	(18, 0.011280449697305244)	(19, 0.011114711715794973)	(20, 0.011330317762538423)	(21, 0.011195380644848645)	(22, 0.011696994712782386)	(23, 0.011523923192267235)	(24, 0.011229114924271089)	(25, 0.011586991627709195)	(26, 0.013710784523522222)	(27, 0.0156615058988201)	(28, 0.015699640301645473)	(29, 0.014210931883654987)	(30, 0.012406881288454694)	(31, 0.011984469441773652)	(32, 0.012895294986179653)	(33, 0.013039032350675286)	(34, 0.01435466924815062)	(35, 0.014438271592806244)	(36, 0.0031039366233643548)	(37, 0.0019773985690616867)	(38, 0.0014713411208304055)	(39, 0.0019657425354044533)	(40, 0.0008449959275157213)	(41, 0.00048265932672398134)	(42, 0.0006323197985402713)	(43, 0.00016872251876957328)	(44, 0.00034185883290157394)	(45, 0.0003844228797229432)	(46, 0.0004871527761728882)	(47, 0.0005986978937118423)	(48, 0.0009039722197596968)	(49, 0.0006354671007528245)	(50, 0.0014354185806804164)	(51, 0.0005974132680701661)	(52, 0.0006209605269926109)	(53, 0.0001394736177577223)	(54, 0.00025842314834748526)	(55, 0.0004258630132319309)	(56, 0.00021736568214454746)	(57, 0.0006463144024025739)	(58, 0.00019980291499230722)	(59, 0.0001689832382880987)	(60, 0.0005085287771584865)	(61, 0.0003204815102382449)	(62, 0.0006308492704632578)	(63, 0.00020740630864974182)	(64, 0.00019864821508251433)	(65, 0.00044013651709934787)	(66, 0.00020322483650193744)	(67, 0.00012375731996923215)	(68, 0.00012824000396807002)	(69, 0.00016813172076135175)	(70, 0.0012072169079671402)	(71, 0.0006739486522955689)	(72, 0.001221411857421789)	(73, 0.000958229274520989)	(74, 0.00032166642181570267)	(75, 0.0004320414319877978)
fastqc | CL12	(1, 0.04341518519480167)	(2, 0.011881945391836478)	(3, 0.011123158500307293)	(4, 0.011084576115992251)	(5, 0.01107600225281113)	(6, 0.027320615026641206)	(7, 0.011193178382953113)	(8, 0.011244621562039838)	(9, 0.011166027816212898)	(10, 0.011223186904087036)	(11, 0.01158471813489096)	(12, 0.011140306226669536)	(13, 0.011307496558701391)	(14, 0.011206039177724796)	(15, 0.011800493691615833)	(16, 0.011366084623772383)	(17, 0.01169617835624553)	(18, 0.011516127229441994)	(19, 0.011323215307866778)	(20, 0.01150183745747346)	(21, 0.011378945418544064)	(22, 0.011833360167143462)	(23, 0.011776201079269324)	(24, 0.011394664167709451)	(25, 0.011776201079269324)	(26, 0.013998260620376447)	(27, 0.015875936657041886)	(28, 0.015714462233797445)	(29, 0.014424095825038775)	(30, 0.012636445351775103)	(31, 0.012216326055900187)	(32, 0.01314801918824864)	(33, 0.013169453846201442)	(34, 0.014787056033039554)	(35, 0.014781340124252139)	(36, 0.0031126993086877768)	(37, 0.0018007632149008527)	(38, 0.0013834681021348758)	(39, 0.0019337516963918936)	(40, 0.0008818566372382388)	(41, 0.00045737826320095147)	(42, 0.0006474968436672901)	(43, 0.00016009337560484566)	(44, 0.00031162206647313223)	(45, 0.00040312342315485477)	(46, 0.0004974926726691635)	(47, 0.0006204674513139992)	(48, 0.0008807174198285149)	(49, 0.000550488283107116)	(50, 0.0015100338100287952)	(51, 0.0006049307086910552)	(52, 0.0006107165013238746)	(53, 0.00012873689410141713)	(54, 0.00023747761576765536)	(55, 0.0004650025289699079)	(56, 0.00019318259481487614)	(57, 0.0006755317228981467)	(58, 0.00017034422674643126)	(59, 0.00017467343691363147)	(60, 0.0005427603735720837)	(61, 0.00035954714707360567)	(62, 0.0005702906103513764)	(63, 0.00019493960577506863)	(64, 0.00018067211834746442)	(65, 0.00047051967578440074)	(66, 0.00020092425155716293)	(67, 0.00010769134454510315)	(68, 0.00011205957408770613)	(69, 0.00016244136783049389)	(70, 0.001206972161726559)	(71, 0.0007088660178102875)	(72, 0.0011604559220062495)	(73, 0.0009592140138485751)	(74, 0.00034589173125507193)	(75, 0.00046758960815313785)
fastqc | CL13	(1, 0.18036638906184724)	(2, 0.09889275292321417)	(3, 0.0982337727788782)	(4, 0.09800136794981772)	(5, 0.09800136794981772)	(6, 0.11773253793705207)	(7, 0.09841969664212656)	(8, 0.09801036426578134)	(9, 0.09825251510380242)	(10, 0.09814680839122976)	(11, 0.09811607097835401)	(12, 0.09808683295147222)	(13, 0.0980403519856601)	(14, 0.09811906975034188)	(15, 0.09815505501419641)	(16, 0.09811307220636613)	(17, 0.09893398603804748)	(18, 0.09819328935704184)	(19, 0.09827125742872665)	(20, 0.0984166978701387)	(21, 0.09819853720802063)	(22, 0.09845193344099624)	(23, 0.0986678450241234)	(24, 0.0986506020851931)	(25, 0.09851265857375076)	(26, 0.09950375271574415)	(27, 0.09951799688268656)	(28, 0.09977514158064703)	(29, 0.09965369131513799)	(30, 0.10082096331141917)	(31, 0.09993182741701359)	(32, 0.09959071710339258)	(33, 0.10097090191081301)	(34, 0.10020021750992858)	(35, 0.10025644448470131)	(36, 0.0026036590679200757)	(37, 0.0018924868392591644)	(38, 0.002300573795691102)	(39, 0.0018692829859297065)	(40, 0.001813446437902527)	(41, 0.0022445879130466332)	(42, 0.002059705123443578)	(43, 0.0022740394052225875)	(44, 0.0020943664971654133)	(45, 0.001842337068390773)	(46, 0.0031976506009482484)	(47, 0.0024790822258316603)	(48, 0.002741282367821575)	(49, 0.0028659986421049276)	(50, 0.0032831837209154357)	(51, 0.0028401295531138484)	(52, 0.0026800305818327494)	(53, 0.0025402336653270676)	(54, 0.003338000879075067)	(55, 0.0025423591496067204)	(56, 0.0027030217756755016)	(57, 0.0028552837904330833)	(58, 0.0027943159291638478)	(59, 0.002527110615579302)	(60, 0.002036646973735727)	(61, 0.0032011639572859193)	(62, 0.0028234506138530256)	(63, 0.002557642473738901)	(64, 0.0023756447697683156)	(65, 0.00238686699799271)	(66, 0.0028858926552508147)	(67, 0.0030943977201160072)	(68, 0.003617503602686694)	(69, 0.0024426982848825313)	(70, 0.0035427083075108695)	(71, 0.004411627241364285)	(72, 0.003363715624115337)	(73, 0.0034901950991521177)	(74, 0.003734365993501349)	(75, 0.004522222481704735)
fastqc | HS01	(1, 0.06530484477919277)	(2, 0.011503385630774484)	(3, 0.010911757522153832)	(4, 0.01075495383171114)	(5, 0.01075495383171114)	(6, 0.026416417466494306)	(7, 0.01075606591462208)	(8, 0.011175321172046865)	(9, 0.011012957067049469)	(10, 0.010845032547497366)	(11, 0.011100811617013814)	(12, 0.010850592962052073)	(13, 0.011562326025054361)	(14, 0.01082723922092231)	(15, 0.010998499989207235)	(16, 0.011018517481604175)	(17, 0.0111275016068764)	(18, 0.010883955449380305)	(19, 0.011094139119548168)	(20, 0.011163088260026514)	(21, 0.011026302061980763)	(22, 0.011491152718754132)	(23, 0.011547868947212126)	(24, 0.011110820363212284)	(25, 0.012106134568504547)	(26, 0.012279619502611356)	(27, 0.01176806136357846)	(28, 0.013010257975099642)	(29, 0.013962200946865202)	(30, 0.014171272534122122)	(31, 0.014078969652514014)	(32, 0.014342533302407048)	(33, 0.013953304283577673)	(34, 0.014355878297338344)	(35, 0.013499574455913713)	(36, 0.003609145572656677)	(37, 0.0032288149725188697)	(38, 0.0038595156330125616)	(39, 0.004177700004634845)	(40, 0.004149986957739996)	(41, 0.006778524029673028)	(42, 0.007085747826933512)	(43, 0.005718852532763096)	(44, 0.0059893767990031556)	(45, 0.004482185182865869)	(46, 0.004968542318463359)	(47, 0.003993038028608309)	(48, 0.0037373422565356008)	(49, 0.0036652637667457296)	(50, 0.0029889581032868638)	(51, 0.0037493131545425482)	(52, 0.0038743254308038965)	(53, 0.0017987879775512151)	(54, 0.002210890843843822)	(55, 0.003085171016952642)	(56, 0.0025922850412492347)	(57, 0.0028154354959170785)	(58, 0.0027379414536555457)	(59, 0.0024031384252520224)	(60, 0.004800722328181836)	(61, 0.004330460772061299)	(62, 0.0040116850417376915)	(63, 0.004765865136188584)	(64, 0.004301158433064887)	(65, 0.0038307093457990034)	(66, 0.003872548964322624)	(67, 0.005572285009419429)	(68, 0.003164174507610689)	(69, 0.0035830330502256355)	(70, 0.0030204460134499486)	(71, 0.0029498553175541105)	(72, 0.002680871591454814)	(73, 0.0029466910203182722)	(74, 0.0034395138542280524)	(75, 0.007851697528046158)
fastqc | HS02	(1, 0.10310017221633648)	(2, 0.035245787493953726)	(3, 0.03452257238971872)	(4, 0.03427163687073702)	(5, 0.03427163687073702)	(6, 0.053493060893113835)	(7, 0.03479718107086851)	(8, 0.03428228979371266)	(9, 0.034462205826190105)	(10, 0.03441012486942032)	(11, 0.03434502367345808)	(12, 0.034375798784276594)	(13, 0.03430359563966393)	(14, 0.0344053902369867)	(15, 0.03441841047617915)	(16, 0.03441367584374553)	(17, 0.03526354236557979)	(18, 0.03443971632213042)	(19, 0.0345154704410683)	(20, 0.03465514209786)	(21, 0.03443853266402202)	(22, 0.03466697867894404)	(23, 0.03500550489794766)	(24, 0.03492146517225096)	(25, 0.03479954838708532)	(26, 0.03576422974543479)	(27, 0.035559456892680856)	(28, 0.035964267965755116)	(29, 0.03599030844414001)	(30, 0.03712425291199129)	(31, 0.036225856407712455)	(32, 0.03583998386437266)	(33, 0.03719527239849555)	(34, 0.036160755211750224)	(35, 0.03634658953476969)	(36, 0.0020390744932171643)	(37, 0.0015442036403866615)	(38, 0.0019102594004362498)	(39, 0.0016474807993278372)	(40, 0.0014889168617844637)	(41, 0.0018266975760007475)	(42, 0.0016717267303310598)	(43, 0.001801116540582189)	(44, 0.0016496789241287064)	(45, 0.001474490881056187)	(46, 0.0025795791881258177)	(47, 0.0019243587800594506)	(48, 0.0021074118028889)	(49, 0.0022182717478027632)	(50, 0.0024918250635809934)	(51, 0.002038021383912664)	(52, 0.001981735852184116)	(53, 0.001975333606585836)	(54, 0.002507234470590728)	(55, 0.0018710777502940945)	(56, 0.002063336485976703)	(57, 0.002129712355933139)	(58, 0.0020034268479339028)	(59, 0.0018473658456858502)	(60, 0.0015279757521451701)	(61, 0.0024248297412893926)	(62, 0.0020734373799410227)	(63, 0.0018721617916724548)	(64, 0.001792587293978624)	(65, 0.001790815810691424)	(66, 0.0021331455014831535)	(67, 0.002265134985908473)	(68, 0.002678707090671004)	(69, 0.0018258622050901765)	(70, 0.0028331997722165205)	(71, 0.003397912795236691)	(72, 0.002643220736177164)	(73, 0.0027425411115579792)	(74, 0.002963719741337197)	(75, 0.003528730214214851)
fastqc | HS03	(1, 0.0673145757226628)	(2, 0.008366088421742624)	(3, 0.00785615341048899)	(4, 0.007699492963732717)	(5, 0.007699492963732717)	(6, 0.02225209191375655)	(7, 0.007699492963732717)	(8, 0.008076950013299842)	(9, 0.007926598040909595)	(10, 0.007760474882604286)	(11, 0.008062230239779117)	(12, 0.007803582790772119)	(13, 0.008375551133291661)	(14, 0.007776246068519348)	(15, 0.007949729113585017)	(16, 0.007926598040909595)	(17, 0.008046459053864056)	(18, 0.007841433636968265)	(19, 0.008070641538933818)	(20, 0.008259895769914547)	(21, 0.008062230239779117)	(22, 0.008745648296098422)	(23, 0.008518543218921546)	(24, 0.00814634323132611)	(25, 0.00948373979692327)	(26, 0.009429066352417727)	(27, 0.00897590761045831)	(28, 0.010267042030704629)	(29, 0.011451983799122867)	(30, 0.01160864424587914)	(31, 0.011303734651521295)	(32, 0.011921965139391682)	(33, 0.011311094538281656)	(34, 0.011516119955177448)	(35, 0.010766462918014889)	(36, 0.0039115903197140455)	(37, 0.0034647350486614417)	(38, 0.004312304879639533)	(39, 0.00489596314904438)	(40, 0.004775109483659766)	(41, 0.007174884308539584)	(42, 0.00769873164736894)	(43, 0.0063023577201205706)	(44, 0.006337213321810949)	(45, 0.004763019283076732)	(46, 0.005612930779028097)	(47, 0.004368906005848003)	(48, 0.003800070197698626)	(49, 0.003683494697818696)	(50, 0.002902142917505867)	(51, 0.003802791783558683)	(52, 0.004268059422370285)	(53, 0.002438780096524349)	(54, 0.0028514365268913875)	(55, 0.003968176466438508)	(56, 0.0033676442611716307)	(57, 0.0034564381022243462)	(58, 0.0033916188256655606)	(59, 0.002726743945678291)	(60, 0.0054334013101678515)	(61, 0.004856263755596157)	(62, 0.005131194077318973)	(63, 0.006128215222750034)	(64, 0.00572406388552766)	(65, 0.0052756088109498864)	(66, 0.005274188513734943)	(67, 0.007364912642546165)	(68, 0.004285998551435919)	(69, 0.0049023873232520694)	(70, 0.003732397593542726)	(71, 0.0036719464234771073)	(72, 0.0033300766324717507)	(73, 0.003954273942150716)	(74, 0.004540268453839141)	(75, 0.010283358172106306)
fastqc | HS04	(1, 0.20754881566379535)	(2, 0.1586389094549725)	(3, 0.15763763561582766)	(4, 0.157514962993151)	(5, 0.157514962993151)	(6, 0.17501073136787698)	(7, 0.1581283261065344)	(8, 0.15751827846943955)	(9, 0.1576508975209819)	(10, 0.15761442728180777)	(11, 0.15754811775603658)	(12, 0.15758790347149929)	(13, 0.15752159394572812)	(14, 0.15762437371067342)	(15, 0.1576442665684048)	(16, 0.1576177427580963)	(17, 0.15851955230858436)	(18, 0.15768073680757894)	(19, 0.1576442665684048)	(20, 0.15782661776427553)	(21, 0.1576674749024247)	(22, 0.15772715347561875)	(23, 0.15818468920343992)	(24, 0.1582410523003454)	(25, 0.15796586776839502)	(26, 0.15908649875392797)	(27, 0.15853944516631574)	(28, 0.1589240404157886)	(29, 0.15920254042402754)	(30, 0.1601275583085355)	(31, 0.15918596304258473)	(32, 0.15892072493950002)	(33, 0.16015739759513253)	(34, 0.1589638261312513)	(35, 0.15923901066320167)	(36, 0.001258881675950836)	(37, 0.0010632309775269189)	(38, 0.0013427905227839144)	(39, 0.0011571388199824173)	(40, 0.0011011556145795664)	(41, 0.0012083062365944165)	(42, 0.0010692322555994043)	(43, 0.0012600166322195452)	(44, 0.0010474751428977934)	(45, 0.0010182752020608554)	(46, 0.0018847151174570167)	(47, 0.001140732274517456)	(48, 0.0012427382299877022)	(49, 0.0011977573151769876)	(50, 0.00157975594518462)	(51, 0.0011384817160678472)	(52, 0.0011411585433171965)	(53, 0.0011880633146357214)	(54, 0.0015476362435773096)	(55, 0.0012901207556431295)	(56, 0.0013010504804513068)	(57, 0.0014117860560221378)	(58, 0.001173030171884008)	(59, 0.001188652692925502)	(60, 0.0009273407992024451)	(61, 0.0013482146424772278)	(62, 0.001244048991492708)	(63, 0.0011710928847545182)	(64, 0.0011117048517685889)	(65, 0.0011058344219040523)	(66, 0.001310213067428125)	(67, 0.0013096255361074339)	(68, 0.0017804132471574083)	(69, 0.0011874905882093615)	(70, 0.0019026753825679055)	(71, 0.001982959340516162)	(72, 0.0017264328299080778)	(73, 0.0017579223932963823)	(74, 0.0021285180345221645)	(75, 0.002270307042231823)
fastqc | HS05	(1, 0.695386492585562)	(2, 0.6122879851654889)	(3, 0.6116869109707687)	(4, 0.6114427245791636)	(5, 0.6114427245791636)	(6, 0.6310527701819114)	(7, 0.6117620452451087)	(8, 0.6114615081477486)	(9, 0.6116117766964286)	(10, 0.6117432616765237)	(11, 0.6115742095592587)	(12, 0.6115742095592587)	(13, 0.6115178588535035)	(14, 0.6115366424220886)	(15, 0.6116117766964286)	(16, 0.6115554259906736)	(17, 0.6122316344597338)	(18, 0.6116493438335986)	(19, 0.6117244781079387)	(20, 0.6118747466566188)	(21, 0.6115554259906736)	(22, 0.6119310973623737)	(23, 0.6120625823424688)	(24, 0.6121189330482237)	(25, 0.6119310973623737)	(26, 0.612832708654454)	(27, 0.6129641936345491)	(28, 0.6133210814376643)	(29, 0.6130956786146442)	(30, 0.6142602598669147)	(31, 0.6132647307319092)	(32, 0.6132647307319092)	(33, 0.6142226927297446)	(34, 0.6136591856721945)	(35, 0.6136028349664394)	(36, 0.002496619633757248)	(37, 0.0019308151087418033)	(38, 0.002425303034982533)	(39, 0.0020294890448371034)	(40, 0.002088805767078788)	(41, 0.0022246602639549896)	(42, 0.0020945498859898416)	(43, 0.002307358892132116)	(44, 0.002100530231117522)	(45, 0.002065126439278399)	(46, 0.003293547156031605)	(47, 0.0026464813017466203)	(48, 0.0029968987860830936)	(49, 0.003022026725110482)	(50, 0.003549304664210702)	(51, 0.0030743226194156815)	(52, 0.0031402992666431984)	(53, 0.0027206521791938126)	(54, 0.0035656611632083)	(55, 0.0026764095789675625)	(56, 0.002977487063602258)	(57, 0.0031033197271749854)	(58, 0.0027580158282528382)	(59, 0.0021938046561230965)	(60, 0.0020430277512591896)	(61, 0.003066362048154628)	(62, 0.0028789676022178447)	(63, 0.002871296253721391)	(64, 0.0025210167078869705)	(65, 0.0024520234259428134)	(66, 0.0028303116193454853)	(67, 0.0031502557434889937)	(68, 0.004173115637856614)	(69, 0.002479927057078828)	(70, 0.0035745303077566685)	(71, 0.004455774244118692)	(72, 0.0037368836965675774)	(73, 0.003546536396329767)	(74, 0.003531440007470536)	(75, 0.004859217170945426)
