Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
fastqc | CL08	(1, 31.58300927140367)	(2, 31.565157604016452)	(3, 31.641024041922204)	(4, 31.655113648444463)	(5, 31.659951702429623)	(6, 35.25089034096549)	(7, 35.24327001920775)	(8, 35.21840737824824)	(9, 35.20537222673473)	(10, 35.164819570253776)	(11, 35.23907878759997)	(12, 35.22676409121923)	(13, 35.20618043640925)	(14, 35.200293317248146)	(15, 35.19291391465128)	(16, 35.19303598163264)	(17, 35.172242558349076)	(18, 35.16866599049021)	(19, 35.1498544978558)	(20, 35.13772244041614)	(21, 35.13640252553136)	(22, 35.09778938129091)	(23, 35.06821366044215)	(24, 35.04429404924686)	(25, 35.01711312236283)	(26, 34.940397117364626)	(27, 34.92939846325257)	(28, 34.90458367297414)	(29, 34.907799440331644)	(30, 34.92185536039881)	(31, 34.90608655570713)	(32, 34.8965365889225)	(33, 34.880154298181594)	(34, 34.87618783745605)	(35, 34.8475427433901)	(36, 34.835294777028984)	(37, 34.802698319742845)	(38, 34.775607870279835)	(39, 34.76757265416845)	(40, 34.74975987914109)	(41, 34.740602238266376)	(42, 34.70412612776311)	(43, 34.65419369220054)	(44, 34.64322137381166)	(45, 34.642390432132586)	(46, 34.60533466551747)	(47, 34.61298638452641)	(48, 34.600780016992616)	(49, 34.5529594879324)	(50, 34.51508188681953)	(51, 34.47989196340113)	(52, 34.45035566621123)	(53, 34.40799202200232)	(54, 34.37378058257678)	(55, 34.34317226204109)	(56, 34.32095042711674)	(57, 34.281473823609744)	(58, 34.24973882494455)	(59, 34.242085433026894)	(60, 34.1753957299972)	(61, 34.14167265352471)	(62, 34.099321525528644)	(63, 34.04843905004712)	(64, 34.03820805125672)	(65, 33.95904021358977)	(66, 33.893140813274755)	(67, 33.8731064165321)	(68, 33.84980624374613)	(69, 33.846777445124474)	(70, 33.78418817541986)	(71, 33.80654753217203)	(72, 33.76796125016626)	(73, 33.74399396562837)	(74, 33.71944223538395)	(75, 32.46583567350837)
fastqc | CL10	(1, 31.578026873169797)	(2, 31.572969850940314)	(3, 31.649643369258033)	(4, 31.65996425288963)	(5, 31.67025400511514)	(6, 35.25942264712332)	(7, 35.257300869536174)	(8, 35.22741692341412)	(9, 35.21922855661843)	(10, 35.179992664720636)	(11, 35.25200454208146)	(12, 35.24384682559834)	(13, 35.21985784245358)	(14, 35.21397503096729)	(15, 35.20722009005543)	(16, 35.20109933902872)	(17, 35.182717733574044)	(18, 35.17901474127947)	(19, 35.16423121869507)	(20, 35.146162929271014)	(21, 35.14871464926801)	(22, 35.11385582375415)	(23, 35.08324537986888)	(24, 35.05908227191042)	(25, 35.03324941251886)	(26, 34.96462052267024)	(27, 34.95049675000381)	(28, 34.92829839691726)	(29, 34.93563086731368)	(30, 34.94079259721856)	(31, 34.92129050945118)	(32, 34.91255940709539)	(33, 34.887604248502676)	(34, 34.88273603219863)	(35, 34.859059790876096)	(36, 34.84512953158148)	(37, 34.81711322217261)	(38, 34.790367924603856)	(39, 34.76768257147173)	(40, 34.75553079445744)	(41, 34.7462492953532)	(42, 34.727386951638486)	(43, 34.704548526945125)	(44, 34.68293685973425)	(45, 34.66898471537426)	(46, 34.64035667684275)	(47, 34.625761939265246)	(48, 34.611480563687735)	(49, 34.56213201792045)	(50, 34.518371920536)	(51, 34.5006219541355)	(52, 34.48213244148383)	(53, 34.43311843915141)	(54, 34.40278569181421)	(55, 34.36602472006851)	(56, 34.3466840555612)	(57, 34.30623561571375)	(58, 34.274854059311636)	(59, 34.24843240483398)	(60, 34.200495272288556)	(61, 34.160805802993806)	(62, 34.11485600458562)	(63, 34.074791659108094)	(64, 34.058563622675564)	(65, 33.98072079951188)	(66, 33.92553823345494)	(67, 33.91301567825585)	(68, 33.869528024140465)	(69, 33.867898392870885)	(70, 33.82061940605399)	(71, 33.824170261517864)	(72, 33.79469529857419)	(73, 33.7648594699008)	(74, 33.727133553137804)	(75, 32.461414101214764)
fastqc | CL11	(1, 31.596142872358904)	(2, 31.61206380953356)	(3, 31.670157685462343)	(4, 31.680958389705026)	(5, 31.68732508959458)	(6, 35.29425848724403)	(7, 35.30258201001333)	(8, 35.26987125796272)	(9, 35.25731009368068)	(10, 35.22184342700619)	(11, 35.29034481215037)	(12, 35.27973277053213)	(13, 35.260585574875975)	(14, 35.25447336345697)	(15, 35.246847714926446)	(16, 35.243902829669494)	(17, 35.22862992800254)	(18, 35.22438983708778)	(19, 35.21093299835292)	(20, 35.19724104635756)	(21, 35.19538923975636)	(22, 35.15985764192752)	(23, 35.13329716236335)	(24, 35.10885016473915)	(25, 35.088783548630886)	(26, 35.01523577929251)	(27, 35.005344037875325)	(28, 34.98131406928018)	(29, 34.98193043856646)	(30, 34.997503032638384)	(31, 34.9809045937963)	(32, 34.97170518246241)	(33, 34.95183267046452)	(34, 34.94735594091315)	(35, 34.91579389974518)	(36, 34.902991301569664)	(37, 34.878047977263556)	(38, 34.85137535921701)	(39, 34.836922351336135)	(40, 34.8328434777515)	(41, 34.81802638694138)	(42, 34.791829803218555)	(43, 34.755835304990455)	(44, 34.74490881231082)	(45, 34.7354683749676)	(46, 34.692245694328804)	(47, 34.698812067454526)	(48, 34.68386867590537)	(49, 34.633855523898305)	(50, 34.604866515171786)	(51, 34.561063254116824)	(52, 34.536719759427854)	(53, 34.4994114800588)	(54, 34.46577941581509)	(55, 34.43864985858778)	(56, 34.423836350077714)	(57, 34.3856644263353)	(58, 34.364931635449295)	(59, 34.34730108127084)	(60, 34.28450596297023)	(61, 34.259374962558425)	(62, 34.20852055023114)	(63, 34.17170326900143)	(64, 34.16266125158499)	(65, 34.084524287792874)	(66, 34.01760647206897)	(67, 34.00400851432682)	(68, 33.97372228182598)	(69, 33.96984519242314)	(70, 33.91461621932516)	(71, 33.93732707619304)	(72, 33.90337097651462)	(73, 33.883291301729685)	(74, 33.855657245647436)	(75, 32.631911697364664)
fastqc | CL12	(1, 31.584569521262488)	(2, 31.60565945275632)	(3, 31.67276487925007)	(4, 31.68012029644475)	(5, 31.685464256757594)	(6, 35.290400432705724)	(7, 35.300779765705755)	(8, 35.25708391509972)	(9, 35.25353407852684)	(10, 35.2240743417956)	(11, 35.286654811967104)	(12, 35.27575143015967)	(13, 35.257439573234244)	(14, 35.25134554279077)	(15, 35.24647278770859)	(16, 35.245371160607995)	(17, 35.22873497950268)	(18, 35.2236098813373)	(19, 35.212378849348404)	(20, 35.198585889881905)	(21, 35.1963007695771)	(22, 35.163630521198144)	(23, 35.13811133198494)	(24, 35.1146865803594)	(25, 35.09445383512687)	(26, 35.02004294848124)	(27, 35.012305865767054)	(28, 34.988831843007766)	(29, 34.99266250217937)	(30, 35.00269269318089)	(31, 34.987483245778236)	(32, 34.98034368987891)	(33, 34.96213406198214)	(34, 34.95812260861559)	(35, 34.928029649219106)	(36, 34.91973697605092)	(37, 34.89655877293822)	(38, 34.872110336383265)	(39, 34.854446009581174)	(40, 34.84854095104251)	(41, 34.832975220446315)	(42, 34.81206515602079)	(43, 34.78898480959723)	(44, 34.76449352444343)	(45, 34.756109285444865)	(46, 34.72143435314709)	(47, 34.723240479044904)	(48, 34.70493515868119)	(49, 34.66043580656042)	(50, 34.62957522191241)	(51, 34.602773851845804)	(52, 34.57656453374763)	(53, 34.54010961717667)	(54, 34.50399894422602)	(55, 34.474658728563185)	(56, 34.454397989229626)	(57, 34.41958670740199)	(58, 34.39081925638704)	(59, 34.37532250336071)	(60, 34.322792783670025)	(61, 34.286993870423046)	(62, 34.24685857280046)	(63, 34.210751128531896)	(64, 34.19913368292815)	(65, 34.13031002254535)	(66, 34.073167872212174)	(67, 34.0609374775643)	(68, 34.02877932658316)	(69, 34.02899684793307)	(70, 33.97767711460516)	(71, 33.9932575459508)	(72, 33.96540607101921)	(73, 33.94209174901197)	(74, 33.912870634493316)	(75, 32.74896812917694)
fastqc | CL13	(1, 31.107014094693152)	(2, 31.212086409554857)	(3, 31.238854520379633)	(4, 31.250625697523734)	(5, 31.25472338450043)	(6, 34.51620417930755)	(7, 34.45244860003604)	(8, 34.43851027035174)	(9, 34.45706627407544)	(10, 34.38776864180234)	(11, 34.5395550545074)	(12, 34.533007498264425)	(13, 34.49038513483536)	(14, 34.490868289481114)	(15, 34.47367000976265)	(16, 34.479117616440476)	(17, 34.46250474949256)	(18, 34.4508657132361)	(19, 34.43694502382802)	(20, 34.40803017460335)	(21, 34.40807651312749)	(22, 34.34903609047577)	(23, 34.30643462099053)	(24, 34.283621935399346)	(25, 34.261886858522004)	(26, 34.12190517172265)	(27, 34.100693627955884)	(28, 34.0711212305005)	(29, 34.08800430179839)	(30, 34.06866632329728)	(31, 34.050522980586834)	(32, 34.024994944445275)	(33, 33.99321172483262)	(34, 33.98256084392161)	(35, 33.929296970744)	(36, 33.95705648273956)	(37, 33.91007349199765)	(38, 33.87279687491377)	(39, 33.80745804708263)	(40, 33.78371836404565)	(41, 33.730567639826404)	(42, 33.68421064105157)	(43, 33.67318637423863)	(44, 33.64776656124821)	(45, 33.65592668696589)	(46, 33.58132861019684)	(47, 33.58027678791094)	(48, 33.55473804993086)	(49, 33.49071649113795)	(50, 33.41585134836997)	(51, 33.415247304998424)	(52, 33.38808134834039)	(53, 33.29213541462792)	(54, 33.23345185874841)	(55, 33.180501653636675)	(56, 33.2191087668864)	(57, 33.15882765741118)	(58, 33.11360921500862)	(59, 33.119313900137215)	(60, 33.055115186203196)	(61, 32.98951161494852)	(62, 32.985616522737985)	(63, 32.93713049130292)	(64, 32.925757430123376)	(65, 32.84447288815713)	(66, 32.77171068414854)	(67, 32.76604566395736)	(68, 32.67181071634458)	(69, 32.67986297422225)	(70, 32.61670713215516)	(71, 32.57723077425701)	(72, 32.54856911125208)	(73, 32.47314879675301)	(74, 32.43831955622863)	(75, 31.039596924106338)
fastqc | HS01	(1, 31.402446546817416)	(2, 31.41226635012932)	(3, 31.49518267368597)	(4, 31.514212858874576)	(5, 31.521061543635803)	(6, 34.9587967053832)	(7, 34.961138284918825)	(8, 34.910208824371225)	(9, 34.91841096963921)	(10, 34.86092811570573)	(11, 34.93510760453082)	(12, 34.94775936033792)	(13, 34.92439333069199)	(14, 34.913815375976384)	(15, 34.901806337366835)	(16, 34.904771495153106)	(17, 34.8790972929422)	(18, 34.86992184158973)	(19, 34.871191595615784)	(20, 34.83658247446522)	(21, 34.83827069416983)	(22, 34.78938096049333)	(23, 34.74925438455091)	(24, 34.728919937403525)	(25, 34.69466710537596)	(26, 34.61630313769856)	(27, 34.58171603578963)	(28, 34.5566750091049)	(29, 34.56634361362423)	(30, 34.55951981727855)	(31, 34.53769886002494)	(32, 34.51094895113511)	(33, 34.501870095304284)	(34, 34.49593280697189)	(35, 34.4740586810343)	(36, 34.46597157970811)	(37, 34.43766426790813)	(38, 34.38885796765582)	(39, 34.338864603690375)	(40, 34.34089353212353)	(41, 34.313348318684106)	(42, 34.305520449401484)	(43, 34.2740478249583)	(44, 34.23373508472471)	(45, 34.21726467646149)	(46, 34.17627113190803)	(47, 34.17171879248305)	(48, 34.14127510885663)	(49, 34.08359825731507)	(50, 34.026523019372924)	(51, 34.01991804528952)	(52, 33.99887417512122)	(53, 33.93807901688223)	(54, 33.899790804751355)	(55, 33.84722967953668)	(56, 33.82942585151135)	(57, 33.77818994605089)	(58, 33.734317568705315)	(59, 33.69443468792279)	(60, 33.654554418973525)	(61, 33.58540570961165)	(62, 33.53162866897754)	(63, 33.49128274414522)	(64, 33.46367100446955)	(65, 33.398644553949055)	(66, 33.33106330647186)	(67, 33.332667559967554)	(68, 33.27025063581633)	(69, 33.27268263730959)	(70, 33.25979824181617)	(71, 33.219827017659846)	(72, 33.18733759465758)	(73, 33.148859486568234)	(74, 33.09839977937046)	(75, 31.69869923598585)
fastqc | HS02	(1, 30.99304748818576)	(2, 31.13835808036932)	(3, 31.138521472534606)	(4, 31.157349756352854)	(5, 31.163711362366218)	(6, 34.31753636242096)	(7, 34.23562941108689)	(8, 34.23456662814451)	(9, 34.25524878096531)	(10, 34.17161580754098)	(11, 34.35618368740394)	(12, 34.347577770924396)	(13, 34.30514674075893)	(14, 34.3098094422893)	(15, 34.28868950168053)	(16, 34.29940709973521)	(17, 34.28429981089286)	(18, 34.27374250381922)	(19, 34.25432311297821)	(20, 34.222390680444214)	(21, 34.22401893237471)	(22, 34.15797350866624)	(23, 34.122229566820785)	(24, 34.095675522855814)	(25, 34.0679526165088)	(26, 33.915295910680214)	(27, 33.90081072886648)	(28, 33.865608393461684)	(29, 33.87483921040298)	(30, 33.86023771050694)	(31, 33.83769664630005)	(32, 33.80645847659295)	(33, 33.774331935965755)	(34, 33.76503875207872)	(35, 33.69994172259303)	(36, 33.71257177524454)	(37, 33.667018975621964)	(38, 33.628013718433735)	(39, 33.567256869852805)	(40, 33.53434639220816)	(41, 33.47666104797237)	(42, 33.40569677552349)	(43, 33.374659020200184)	(44, 33.33926479024854)	(45, 33.34961917598622)	(46, 33.265057096187626)	(47, 33.26415567448348)	(48, 33.24292107389389)	(49, 33.16951351794044)	(50, 33.0922000310434)	(51, 33.094945006657696)	(52, 33.05581406449452)	(53, 32.94750024145276)	(54, 32.8865736631607)	(55, 32.8382986553917)	(56, 32.87265440413702)	(57, 32.81185922353853)	(58, 32.77790730149927)	(59, 32.76818750732366)	(60, 32.71811150063369)	(61, 32.655648270538194)	(62, 32.645015488171374)	(63, 32.59373046110341)	(64, 32.58576981304044)	(65, 32.51263183534703)	(66, 32.44964674691057)	(67, 32.43398232290097)	(68, 32.34145743551851)	(69, 32.34494297031264)	(70, 32.29261958205051)	(71, 32.25182221526164)	(72, 32.209979361509085)	(73, 32.143480600898556)	(74, 32.10831439272217)	(75, 30.628813536266833)
fastqc | HS03	(1, 31.470598529858414)	(2, 31.498355533187574)	(3, 31.58052524126261)	(4, 31.5893774186625)	(5, 31.599245502260175)	(6, 35.09517440718399)	(7, 35.09206256294872)	(8, 35.05126064398652)	(9, 35.05544175359858)	(10, 35.01062481664025)	(11, 35.077717270980486)	(12, 35.07968882693173)	(13, 35.06658915374119)	(14, 35.059636794424875)	(15, 35.04778974241858)	(16, 35.052166383193615)	(17, 35.032898725361186)	(18, 35.02367866927864)	(19, 35.02112564021684)	(20, 34.99380816932501)	(21, 34.9943373556972)	(22, 34.950551728128225)	(23, 34.919913991522186)	(24, 34.90082345462171)	(25, 34.870870639591715)	(26, 34.79846172899364)	(27, 34.78253765720232)	(28, 34.75736530941978)	(29, 34.75889025692828)	(30, 34.750482217152005)	(31, 34.73821597753822)	(32, 34.7173496051037)	(33, 34.69836480874772)	(34, 34.6958258265555)	(35, 34.66890227783133)	(36, 34.66187055571837)	(37, 34.63720632072403)	(38, 34.597862985318976)	(39, 34.55719170035402)	(40, 34.562740742912396)	(41, 34.53728086922204)	(42, 34.52670940393393)	(43, 34.5034479617541)	(44, 34.46577726026557)	(45, 34.45653012940973)	(46, 34.41742845611401)	(47, 34.412560137796596)	(48, 34.38622596664641)	(49, 34.33492846604913)	(50, 34.29145841591047)	(51, 34.279325533903815)	(52, 34.25247243148694)	(53, 34.20082331448522)	(54, 34.15866468174417)	(55, 34.11679511379943)	(56, 34.09992806606619)	(57, 34.0572948189298)	(58, 34.01509623013146)	(59, 33.98155573544111)	(60, 33.94215426169727)	(61, 33.88812377370388)	(62, 33.84083817607551)	(63, 33.80407689211569)	(64, 33.779384238491296)	(65, 33.71585860870767)	(66, 33.65525607951734)	(67, 33.64453459602041)	(68, 33.590148934702974)	(69, 33.60173202832902)	(70, 33.571696473694566)	(71, 33.551074886411655)	(72, 33.53056287042784)	(73, 33.49047488662726)	(74, 33.44145987308065)	(75, 32.15334570642622)
fastqc | HS04	(1, 30.658316893820444)	(2, 30.838306310157037)	(3, 30.870894027132994)	(4, 30.892746961291383)	(5, 30.893137093386258)	(6, 33.871818680315116)	(7, 33.782914216792165)	(8, 33.78220344498542)	(9, 33.80037815659452)	(10, 33.687439042896266)	(11, 33.91285698271964)	(12, 33.900437871637955)	(13, 33.831455640966276)	(14, 33.84610789110212)	(15, 33.80420819480307)	(16, 33.816853852379545)	(17, 33.78874511178609)	(18, 33.767525897765495)	(19, 33.74847029726129)	(20, 33.70578231331987)	(21, 33.69685131537709)	(22, 33.606380620855425)	(23, 33.55745838107481)	(24, 33.534676549924654)	(25, 33.49723398101936)	(26, 33.29018596804895)	(27, 33.25093434266157)	(28, 33.22998126192266)	(29, 33.22205853347399)	(30, 33.13743060335137)	(31, 33.16346103763334)	(32, 33.135899184853685)	(33, 33.08196772456773)	(34, 33.05257065619807)	(35, 32.97870648615578)	(36, 33.03308038779933)	(37, 32.97502556821306)	(38, 32.916850754716414)	(39, 32.822286786282675)	(40, 32.73976422628182)	(41, 32.61458383020628)	(42, 32.53556034981682)	(43, 32.4855430425015)	(44, 32.48949901165383)	(45, 32.510112841585425)	(46, 32.39657056034218)	(47, 32.35261673780744)	(48, 32.357731176694564)	(49, 32.22069933325514)	(50, 32.12788181516378)	(51, 32.212185742416224)	(52, 32.11176192785839)	(53, 31.95097698745053)	(54, 31.86924635680998)	(55, 31.787817890094306)	(56, 31.91960464183395)	(57, 31.75711375692306)	(58, 31.719273171241664)	(59, 31.74420038555885)	(60, 31.659930270918274)	(61, 31.56337055896001)	(62, 31.63398746764726)	(63, 31.51908462143821)	(64, 31.501099429777362)	(65, 31.510960560451245)	(66, 31.46506606405552)	(67, 31.453538389319643)	(68, 31.32991749035303)	(69, 31.321032477051187)	(70, 31.153835724280913)	(71, 31.043482059951142)	(72, 30.961918881750325)	(73, 30.83933434708175)	(74, 30.824595895283593)	(75, 29.212158629364673)
fastqc | HS05	(1, 30.233235758955725)	(2, 30.7322550688399)	(3, 31.097507758553004)	(4, 31.138436215321306)	(5, 31.098683609946427)	(6, 34.38760250662966)	(7, 34.38648488429885)	(8, 34.39448424265215)	(9, 34.343678634179106)	(10, 34.162487823551665)	(11, 34.379690867541655)	(12, 34.34782003538073)	(13, 34.179499725947736)	(14, 34.23772803721852)	(15, 34.097182427145114)	(16, 34.132414954575694)	(17, 34.033762901024495)	(18, 34.01338704933053)	(19, 33.98209831996006)	(20, 33.92340135865308)	(21, 33.84992097752696)	(22, 33.686435182976375)	(23, 33.52979280596836)	(24, 33.62729568079354)	(25, 33.55079189646798)	(26, 33.31871339317277)	(27, 33.22827163745008)	(28, 33.325843635807644)	(29, 33.18273989152865)	(30, 33.187035693664036)	(31, 33.1654422910544)	(32, 33.08696491717761)	(33, 33.05343756210318)	(34, 32.96861021503054)	(35, 33.0241678785199)	(36, 33.02482037105442)	(37, 32.972393319152566)	(38, 32.8169476007595)	(39, 32.716333574406285)	(40, 32.76798665898745)	(41, 31.78733807040194)	(42, 31.521239211878)	(43, 31.09030487838598)	(44, 30.950605649700684)	(45, 31.708941462078926)	(46, 31.04653571497643)	(47, 30.800278494213508)	(48, 31.33235530694103)	(49, 30.704958183427014)	(50, 30.513576669031583)	(51, 31.17381910724378)	(52, 30.8098132025935)	(53, 30.423215908041957)	(54, 30.165397187375298)	(55, 30.068616108703644)	(56, 30.984371718887612)	(57, 29.96077050322097)	(58, 30.03615916351744)	(59, 30.438012468320768)	(60, 30.047838387380672)	(61, 29.81276634042433)	(62, 30.650840408629467)	(63, 30.0725201086113)	(64, 29.92830631845443)	(65, 30.575500840983242)	(66, 30.833702902800177)	(67, 31.08148381955008)	(68, 31.207703571467484)	(69, 31.27682247772819)	(70, 31.015086596114028)	(71, 30.597300512058414)	(72, 30.075632414784803)	(73, 29.31198859053291)	(74, 29.233187856965777)	(75, 28.38007360338764)
