Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
fastqc | CL08	(0.0, 11231.0)	(1.0, 6010.0)	(2.0, 701.0)	(3.0, 699.0)	(4.0, 785.0)	(5.0, 774.5)	(6.0, 709.0)	(7.0, 745.5)	(8.0, 842.5)	(9.0, 1004.5)	(10.0, 1374.5)	(11.0, 1967.5)	(12.0, 2369.0)	(13.0, 2913.0)	(14.0, 4372.0)	(15.0, 6061.5)	(16.0, 7654.5)	(17.0, 10861.5)	(18.0, 17094.5)	(19.0, 24787.5)	(20.0, 31790.0)	(21.0, 44107.5)	(22.0, 66434.0)	(23.0, 88915.5)	(24.0, 104563.0)	(25.0, 136396.5)	(26.0, 190821.5)	(27.0, 241478.0)	(28.0, 278087.5)	(29.0, 350177.0)	(30.0, 468629.5)	(31.0, 598865.5)	(32.0, 702953.5)	(33.0, 847946.5)	(34.0, 1096278.0)	(35.0, 1367222.5)	(36.0, 1554781.5)	(37.0, 1780570.5)	(38.0, 2061997.5)	(39.0, 2359095.5)	(40.0, 2614389.0)	(41.0, 2810310.0)	(42.0, 3078559.0)	(43.0, 3244500.5)	(44.0, 3278702.0)	(45.0, 3329814.5)	(46.0, 3439311.5)	(47.0, 3590928.5)	(48.0, 3693261.0)	(49.0, 3677742.5)	(50.0, 3601744.5)	(51.0, 3557565.0)	(52.0, 3544353.0)	(53.0, 3545136.5)	(54.0, 3608622.0)	(55.0, 3969771.0)	(56.0, 4256156.0)	(57.0, 4550750.5)	(58.0, 4901901.0)	(59.0, 4707421.0)	(60.0, 4466701.0)	(61.0, 4363923.5)	(62.0, 4093970.0)	(63.0, 3395183.0)	(64.0, 2722417.5)	(65.0, 2615552.0)	(66.0, 2259646.5)	(67.0, 1955880.0)	(68.0, 1885597.5)	(69.0, 1606905.0)	(70.0, 1194508.5)	(71.0, 751308.5)	(72.0, 596666.0)	(73.0, 553765.5)	(74.0, 506826.0)	(75.0, 435903.0)	(76.0, 377599.0)	(77.0, 345436.5)	(78.0, 393714.5)	(79.0, 522001.5)	(80.0, 569224.0)	(81.0, 463431.5)	(82.0, 301734.5)	(83.0, 366032.5)	(84.0, 496992.0)	(85.0, 558024.5)	(86.0, 399373.5)	(87.0, 199546.5)	(88.0, 220893.5)	(89.0, 215422.5)	(90.0, 120967.5)	(91.0, 26224.0)	(92.0, 13845.5)	(93.0, 10361.0)	(94.0, 6276.0)	(95.0, 4208.0)	(96.0, 3613.0)	(97.0, 3314.0)	(98.0, 3191.0)	(99.0, 3906.0)	(100.0, 4518.0)
fastqc | CL10	(0.0, 5730.0)	(1.0, 3010.5)	(2.0, 266.0)	(3.0, 265.5)	(4.0, 290.5)	(5.0, 308.0)	(6.0, 342.0)	(7.0, 402.0)	(8.0, 449.5)	(9.0, 583.0)	(10.0, 886.5)	(11.0, 1284.5)	(12.0, 1528.0)	(13.0, 1911.0)	(14.0, 3032.0)	(15.0, 4507.0)	(16.0, 5742.5)	(17.0, 8079.0)	(18.0, 13113.5)	(19.0, 19542.5)	(20.0, 25188.0)	(21.0, 35263.0)	(22.0, 54580.0)	(23.0, 75018.0)	(24.0, 90089.5)	(25.0, 118915.5)	(26.0, 170391.0)	(27.0, 224568.5)	(28.0, 266088.5)	(29.0, 338963.0)	(30.0, 459933.5)	(31.0, 586442.0)	(32.0, 679444.5)	(33.0, 803161.0)	(34.0, 1003999.0)	(35.0, 1196858.0)	(36.0, 1314328.0)	(37.0, 1439495.5)	(38.0, 1596711.5)	(39.0, 1748941.0)	(40.0, 1863033.5)	(41.0, 1969458.0)	(42.0, 2172701.0)	(43.0, 2259815.5)	(44.0, 2238290.5)	(45.0, 2329995.5)	(46.0, 2436899.5)	(47.0, 2471091.0)	(48.0, 2470193.0)	(49.0, 2427725.5)	(50.0, 2448019.5)	(51.0, 2492800.5)	(52.0, 2506013.5)	(53.0, 2508532.0)	(54.0, 2534578.0)	(55.0, 2701080.5)	(56.0, 2813429.0)	(57.0, 2937276.5)	(58.0, 2994368.5)	(59.0, 2820454.5)	(60.0, 2697504.5)	(61.0, 2562464.0)	(62.0, 2407686.0)	(63.0, 2122011.0)	(64.0, 1841550.0)	(65.0, 1752387.5)	(66.0, 1427980.0)	(67.0, 1269433.5)	(68.0, 1315550.0)	(69.0, 1116152.0)	(70.0, 765280.5)	(71.0, 557825.5)	(72.0, 552697.0)	(73.0, 487404.0)	(74.0, 440752.5)	(75.0, 452316.0)	(76.0, 501858.5)	(77.0, 463855.5)	(78.0, 327871.0)	(79.0, 303217.0)	(80.0, 333472.5)	(81.0, 289585.0)	(82.0, 181948.0)	(83.0, 128955.0)	(84.0, 139925.0)	(85.0, 157075.5)	(86.0, 126837.5)	(87.0, 71574.0)	(88.0, 65289.5)	(89.0, 60997.5)	(90.0, 36274.5)	(91.0, 11926.5)	(92.0, 7104.0)	(93.0, 5351.5)	(94.0, 2947.5)	(95.0, 1746.0)	(96.0, 1355.5)	(97.0, 1214.5)	(98.0, 1160.0)	(99.0, 1625.5)	(100.0, 2052.0)
fastqc | CL11	(0.0, 9135.0)	(1.0, 4807.0)	(2.0, 445.0)	(3.0, 470.5)	(4.0, 529.5)	(5.0, 583.5)	(6.0, 656.0)	(7.0, 822.0)	(8.0, 978.5)	(9.0, 1275.5)	(10.0, 1914.5)	(11.0, 2829.0)	(12.0, 3434.0)	(13.0, 4360.5)	(14.0, 6519.5)	(15.0, 8795.0)	(16.0, 10868.0)	(17.0, 15228.0)	(18.0, 24177.5)	(19.0, 36419.0)	(20.0, 47719.0)	(21.0, 66316.5)	(22.0, 101839.0)	(23.0, 143526.0)	(24.0, 178536.5)	(25.0, 248861.5)	(26.0, 370423.5)	(27.0, 481475.5)	(28.0, 562764.0)	(29.0, 696730.5)	(30.0, 895170.0)	(31.0, 1075420.5)	(32.0, 1193908.0)	(33.0, 1332860.5)	(34.0, 1536384.5)	(35.0, 1726626.5)	(36.0, 1835288.0)	(37.0, 1927069.0)	(38.0, 2042443.0)	(39.0, 2154120.0)	(40.0, 2248542.5)	(41.0, 2311529.0)	(42.0, 2408338.0)	(43.0, 2447703.0)	(44.0, 2428349.0)	(45.0, 2482139.0)	(46.0, 2556019.5)	(47.0, 2649020.5)	(48.0, 2717009.5)	(49.0, 2555539.0)	(50.0, 2412205.0)	(51.0, 2413201.0)	(52.0, 2373113.0)	(53.0, 2331157.5)	(54.0, 2312140.5)	(55.0, 2436469.0)	(56.0, 2518030.0)	(57.0, 2682615.0)	(58.0, 2876960.0)	(59.0, 2675122.5)	(60.0, 2473696.5)	(61.0, 2484895.0)	(62.0, 2421411.5)	(63.0, 1964124.5)	(64.0, 1521744.5)	(65.0, 1465821.0)	(66.0, 1230177.5)	(67.0, 1082772.0)	(68.0, 1106056.5)	(69.0, 999261.0)	(70.0, 773113.5)	(71.0, 472293.5)	(72.0, 368839.0)	(73.0, 350278.5)	(74.0, 339441.5)	(75.0, 353499.0)	(76.0, 363565.5)	(77.0, 320476.0)	(78.0, 303453.0)	(79.0, 353335.5)	(80.0, 385799.0)	(81.0, 322816.5)	(82.0, 196642.0)	(83.0, 213353.5)	(84.0, 287814.5)	(85.0, 310432.0)	(86.0, 207322.0)	(87.0, 98574.5)	(88.0, 116515.5)	(89.0, 113213.5)	(90.0, 62438.0)	(91.0, 12795.5)	(92.0, 6981.5)	(93.0, 5397.5)	(94.0, 3585.0)	(95.0, 2634.5)	(96.0, 2357.0)	(97.0, 2125.0)	(98.0, 1829.5)	(99.0, 2018.0)	(100.0, 2306.0)
fastqc | CL12	(0.0, 9730.0)	(1.0, 5138.0)	(2.0, 470.5)	(3.0, 480.0)	(4.0, 565.5)	(5.0, 598.5)	(6.0, 667.5)	(7.0, 813.5)	(8.0, 934.0)	(9.0, 1199.0)	(10.0, 1861.5)	(11.0, 2785.0)	(12.0, 3331.5)	(13.0, 4168.5)	(14.0, 6259.5)	(15.0, 8466.0)	(16.0, 10282.0)	(17.0, 13759.0)	(18.0, 20998.5)	(19.0, 30019.0)	(20.0, 37985.5)	(21.0, 52228.5)	(22.0, 79964.0)	(23.0, 108982.0)	(24.0, 129621.5)	(25.0, 175646.5)	(26.0, 259345.0)	(27.0, 341837.0)	(28.0, 404944.5)	(29.0, 524015.5)	(30.0, 713713.0)	(31.0, 898835.5)	(32.0, 1029561.5)	(33.0, 1190759.0)	(34.0, 1439362.5)	(35.0, 1675009.0)	(36.0, 1816640.5)	(37.0, 1950769.0)	(38.0, 2117710.0)	(39.0, 2287762.0)	(40.0, 2422583.0)	(41.0, 2506300.0)	(42.0, 2609786.0)	(43.0, 2655319.5)	(44.0, 2647534.5)	(45.0, 2641086.5)	(46.0, 2658658.0)	(47.0, 2723550.5)	(48.0, 2766265.0)	(49.0, 2684916.5)	(50.0, 2572726.0)	(51.0, 2529452.0)	(52.0, 2501648.0)	(53.0, 2505550.5)	(54.0, 2547051.0)	(55.0, 2715687.0)	(56.0, 2827815.0)	(57.0, 3021145.0)	(58.0, 3242645.0)	(59.0, 3074026.5)	(60.0, 2890167.0)	(61.0, 2800911.5)	(62.0, 2617049.5)	(63.0, 2127822.5)	(64.0, 1659381.0)	(65.0, 1587729.0)	(66.0, 1369778.5)	(67.0, 1184289.5)	(68.0, 1130727.0)	(69.0, 1002668.0)	(70.0, 768115.5)	(71.0, 458924.5)	(72.0, 351192.0)	(73.0, 311550.0)	(74.0, 265172.0)	(75.0, 219583.0)	(76.0, 189839.0)	(77.0, 171016.5)	(78.0, 173535.0)	(79.0, 204251.5)	(80.0, 214343.0)	(81.0, 170461.0)	(82.0, 104426.5)	(83.0, 117056.5)	(84.0, 155188.5)	(85.0, 160051.0)	(86.0, 103762.5)	(87.0, 43725.5)	(88.0, 46436.5)	(89.0, 43610.0)	(90.0, 24352.5)	(91.0, 7688.0)	(92.0, 4356.5)	(93.0, 3248.0)	(94.0, 2068.5)	(95.0, 1455.0)	(96.0, 1291.5)	(97.0, 1201.0)	(98.0, 1182.5)	(99.0, 1689.5)	(100.0, 2152.0)
fastqc | CL13	(0.0, 134114.0)	(1.0, 68898.0)	(2.0, 3218.0)	(3.0, 2940.0)	(4.0, 3124.0)	(5.0, 3191.0)	(6.0, 3251.0)	(7.0, 3430.5)	(8.0, 3644.0)	(9.0, 3991.0)	(10.0, 5011.5)	(11.0, 6919.5)	(12.0, 8245.5)	(13.0, 10364.5)	(14.0, 16232.5)	(15.0, 23414.0)	(16.0, 29899.5)	(17.0, 43789.0)	(18.0, 74562.5)	(19.0, 122027.0)	(20.0, 168492.5)	(21.0, 225562.5)	(22.0, 338876.0)	(23.0, 475975.0)	(24.0, 580289.5)	(25.0, 770336.5)	(26.0, 1085579.0)	(27.0, 1358772.5)	(28.0, 1552529.5)	(29.0, 1841030.0)	(30.0, 2235152.0)	(31.0, 2579278.5)	(32.0, 2792731.5)	(33.0, 3021136.5)	(34.0, 3346445.0)	(35.0, 3646787.5)	(36.0, 3830880.0)	(37.0, 3986566.0)	(38.0, 4196183.0)	(39.0, 4425342.0)	(40.0, 4596558.0)	(41.0, 4750839.5)	(42.0, 5060144.0)	(43.0, 5109456.0)	(44.0, 4937772.5)	(45.0, 4961919.5)	(46.0, 5129528.0)	(47.0, 5030463.0)	(48.0, 4832035.0)	(49.0, 4707280.0)	(50.0, 4583513.5)	(51.0, 4587558.0)	(52.0, 4606738.0)	(53.0, 4581518.5)	(54.0, 4531821.5)	(55.0, 4797703.0)	(56.0, 5028790.0)	(57.0, 5141549.0)	(58.0, 5237076.0)	(59.0, 4934945.5)	(60.0, 4646712.0)	(61.0, 4765783.5)	(62.0, 4631703.0)	(63.0, 3772014.5)	(64.0, 3101070.5)	(65.0, 2869220.5)	(66.0, 2369196.5)	(67.0, 2090569.0)	(68.0, 2022803.0)	(69.0, 1735295.0)	(70.0, 1287288.5)	(71.0, 911059.0)	(72.0, 829566.5)	(73.0, 767985.0)	(74.0, 646850.5)	(75.0, 579199.5)	(76.0, 590887.0)	(77.0, 549031.5)	(78.0, 452270.0)	(79.0, 390594.5)	(80.0, 370847.0)	(81.0, 317721.5)	(82.0, 210250.0)	(83.0, 133107.5)	(84.0, 115652.5)	(85.0, 96689.5)	(86.0, 65755.5)	(87.0, 41080.5)	(88.0, 31990.0)	(89.0, 28903.0)	(90.0, 23207.0)	(91.0, 18954.0)	(92.0, 17207.0)	(93.0, 15428.0)	(94.0, 12420.5)	(95.0, 10532.5)	(96.0, 9812.5)	(97.0, 9381.5)	(98.0, 10441.0)	(99.0, 9539.5)	(100.0, 7525.0)
fastqc | HS01	(0.0, 10253.0)	(1.0, 5489.5)	(2.0, 655.5)	(3.0, 678.0)	(4.0, 771.0)	(5.0, 823.5)	(6.0, 907.0)	(7.0, 1005.0)	(8.0, 1081.0)	(9.0, 1250.0)	(10.0, 1754.0)	(11.0, 2500.0)	(12.0, 2918.5)	(13.0, 3676.0)	(14.0, 5875.5)	(15.0, 8515.0)	(16.0, 10878.5)	(17.0, 15601.5)	(18.0, 25363.0)	(19.0, 37446.0)	(20.0, 48396.5)	(21.0, 68680.5)	(22.0, 107602.5)	(23.0, 155410.5)	(24.0, 197458.5)	(25.0, 276478.5)	(26.0, 414393.0)	(27.0, 555677.0)	(28.0, 663569.0)	(29.0, 834367.0)	(30.0, 1098182.5)	(31.0, 1350321.0)	(32.0, 1529031.5)	(33.0, 1731616.0)	(34.0, 2017054.5)	(35.0, 2293732.0)	(36.0, 2468132.0)	(37.0, 2627259.0)	(38.0, 2835975.0)	(39.0, 2983687.5)	(40.0, 3045032.5)	(41.0, 3199131.0)	(42.0, 3671797.0)	(43.0, 3800628.0)	(44.0, 3541405.5)	(45.0, 3558375.5)	(46.0, 3643721.0)	(47.0, 3458469.5)	(48.0, 3328696.5)	(49.0, 3224871.5)	(50.0, 3122902.0)	(51.0, 3182190.5)	(52.0, 3232338.0)	(53.0, 3260201.0)	(54.0, 3249314.0)	(55.0, 3428639.5)	(56.0, 3573587.0)	(57.0, 3432475.0)	(58.0, 3210018.5)	(59.0, 3044412.0)	(60.0, 2931732.0)	(61.0, 2774955.5)	(62.0, 2723746.0)	(63.0, 2538378.0)	(64.0, 2288146.5)	(65.0, 2020603.0)	(66.0, 1582922.5)	(67.0, 1501631.5)	(68.0, 1517363.0)	(69.0, 1260253.5)	(70.0, 874092.5)	(71.0, 753996.5)	(72.0, 838617.5)	(73.0, 829271.5)	(74.0, 711432.0)	(75.0, 631516.5)	(76.0, 702039.5)	(77.0, 624808.0)	(78.0, 436258.5)	(79.0, 383132.0)	(80.0, 397443.5)	(81.0, 334308.5)	(82.0, 192012.5)	(83.0, 98284.5)	(84.0, 86954.5)	(85.0, 91870.0)	(86.0, 79193.5)	(87.0, 48118.5)	(88.0, 37239.0)	(89.0, 32457.5)	(90.0, 20118.5)	(91.0, 9042.5)	(92.0, 5853.5)	(93.0, 4833.5)	(94.0, 3169.0)	(95.0, 2016.0)	(96.0, 1583.0)	(97.0, 1416.5)	(98.0, 1577.0)	(99.0, 2412.0)	(100.0, 2962.0)
fastqc | HS02	(0.0, 34165.0)	(1.0, 19230.5)	(2.0, 3584.0)	(3.0, 2987.5)	(4.0, 3103.5)	(5.0, 3104.5)	(6.0, 2975.0)	(7.0, 2843.0)	(8.0, 2856.0)	(9.0, 3346.5)	(10.0, 4220.5)	(11.0, 5504.5)	(12.0, 6500.5)	(13.0, 8212.5)	(14.0, 13042.5)	(15.0, 18989.5)	(16.0, 24373.5)	(17.0, 35941.0)	(18.0, 60329.0)	(19.0, 90686.5)	(20.0, 118522.5)	(21.0, 166483.0)	(22.0, 253304.0)	(23.0, 351635.0)	(24.0, 430848.0)	(25.0, 562222.0)	(26.0, 774233.5)	(27.0, 968172.5)	(28.0, 1099124.5)	(29.0, 1283079.5)	(30.0, 1535750.5)	(31.0, 1763396.5)	(32.0, 1918483.5)	(33.0, 2073498.5)	(34.0, 2292718.5)	(35.0, 2494997.0)	(36.0, 2616760.5)	(37.0, 2729530.0)	(38.0, 2878883.5)	(39.0, 3004205.0)	(40.0, 3074278.0)	(41.0, 3132777.0)	(42.0, 3247329.5)	(43.0, 3311960.0)	(44.0, 3293071.5)	(45.0, 3309506.0)	(46.0, 3310183.5)	(47.0, 3288475.0)	(48.0, 3373091.0)	(49.0, 3245675.0)	(50.0, 2993408.0)	(51.0, 2940093.5)	(52.0, 2914590.5)	(53.0, 2798790.5)	(54.0, 2716679.0)	(55.0, 2897923.0)	(56.0, 3029680.0)	(57.0, 3085630.0)	(58.0, 3068153.5)	(59.0, 2810944.5)	(60.0, 2650139.5)	(61.0, 2750008.5)	(62.0, 2656205.0)	(63.0, 2107089.0)	(64.0, 1698488.5)	(65.0, 1631336.0)	(66.0, 1446248.0)	(67.0, 1231864.0)	(68.0, 1103069.5)	(69.0, 993252.0)	(70.0, 775219.0)	(71.0, 481260.5)	(72.0, 373255.0)	(73.0, 315057.0)	(74.0, 248087.5)	(75.0, 209669.0)	(76.0, 200818.0)	(77.0, 177918.5)	(78.0, 153070.5)	(79.0, 149696.5)	(80.0, 146279.5)	(81.0, 127529.5)	(82.0, 93264.5)	(83.0, 71933.5)	(84.0, 69555.0)	(85.0, 58711.5)	(86.0, 38719.5)	(87.0, 24123.0)	(88.0, 20076.5)	(89.0, 18793.5)	(90.0, 14366.0)	(91.0, 10663.5)	(92.0, 9112.0)	(93.0, 8163.5)	(94.0, 6958.5)	(95.0, 6223.5)	(96.0, 6004.0)	(97.0, 6170.5)	(98.0, 6789.0)	(99.0, 5154.0)	(100.0, 3142.0)
fastqc | HS03	(0.0, 7872.0)	(1.0, 4397.5)	(2.0, 850.5)	(3.0, 916.0)	(4.0, 1053.5)	(5.0, 1128.5)	(6.0, 1284.0)	(7.0, 1482.0)	(8.0, 1612.5)	(9.0, 1912.0)	(10.0, 2678.5)	(11.0, 3839.5)	(12.0, 4583.0)	(13.0, 5918.5)	(14.0, 9418.0)	(15.0, 13662.5)	(16.0, 17648.0)	(17.0, 25853.0)	(18.0, 42064.5)	(19.0, 61434.5)	(20.0, 78463.0)	(21.0, 110676.0)	(22.0, 172046.5)	(23.0, 246036.0)	(24.0, 310157.0)	(25.0, 425809.0)	(26.0, 631298.5)	(27.0, 848144.5)	(28.0, 1014590.0)	(29.0, 1262823.5)	(30.0, 1633727.5)	(31.0, 1977604.5)	(32.0, 2213833.5)	(33.0, 2481791.0)	(34.0, 2853261.5)	(35.0, 3174058.5)	(36.0, 3361036.0)	(37.0, 3526642.5)	(38.0, 3718833.5)	(39.0, 3851201.0)	(40.0, 3910013.5)	(41.0, 3992584.0)	(42.0, 4257439.0)	(43.0, 4273228.0)	(44.0, 4044753.0)	(45.0, 3958748.5)	(46.0, 3904646.0)	(47.0, 3740809.5)	(48.0, 3674979.5)	(49.0, 3495394.5)	(50.0, 3233346.0)	(51.0, 3194171.5)	(52.0, 3173286.5)	(53.0, 3103033.0)	(54.0, 3019668.0)	(55.0, 3139500.0)	(56.0, 3253041.0)	(57.0, 3208374.5)	(58.0, 3081010.0)	(59.0, 2859151.5)	(60.0, 2683179.0)	(61.0, 2587317.0)	(62.0, 2485400.5)	(63.0, 2134820.5)	(64.0, 1807547.0)	(65.0, 1657289.0)	(66.0, 1395181.0)	(67.0, 1320379.5)	(68.0, 1264277.0)	(69.0, 1052160.0)	(70.0, 745551.5)	(71.0, 519242.5)	(72.0, 501687.5)	(73.0, 470639.5)	(74.0, 391797.5)	(75.0, 363590.5)	(76.0, 413066.0)	(77.0, 345834.5)	(78.0, 215082.5)	(79.0, 175706.0)	(80.0, 176286.0)	(81.0, 144330.5)	(82.0, 81303.0)	(83.0, 44266.5)	(84.0, 40632.5)	(85.0, 40699.5)	(86.0, 32717.0)	(87.0, 18808.0)	(88.0, 14212.5)	(89.0, 12060.5)	(90.0, 7388.0)	(91.0, 3799.5)	(92.0, 2727.0)	(93.0, 2503.0)	(94.0, 2000.0)	(95.0, 1418.5)	(96.0, 1166.0)	(97.0, 1071.0)	(98.0, 1384.0)	(99.0, 2185.0)	(100.0, 2606.0)
fastqc | HS04	(0.0, 48705.0)	(1.0, 24833.5)	(2.0, 817.5)	(3.0, 720.0)	(4.0, 767.0)	(5.0, 768.0)	(6.0, 776.5)	(7.0, 780.0)	(8.0, 774.0)	(9.0, 869.5)	(10.0, 1102.0)	(11.0, 1509.0)	(12.0, 1813.0)	(13.0, 2261.5)	(14.0, 3520.0)	(15.0, 5158.0)	(16.0, 6702.5)	(17.0, 9865.0)	(18.0, 16407.0)	(19.0, 24639.5)	(20.0, 32294.5)	(21.0, 45232.5)	(22.0, 69074.0)	(23.0, 96901.5)	(24.0, 120098.0)	(25.0, 159222.5)	(26.0, 222918.5)	(27.0, 285448.0)	(28.0, 334096.5)	(29.0, 397995.0)	(30.0, 485656.5)	(31.0, 567958.5)	(32.0, 628053.5)	(33.0, 686458.5)	(34.0, 761878.5)	(35.0, 835506.0)	(36.0, 887590.0)	(37.0, 933117.0)	(38.0, 986613.5)	(39.0, 1035541.5)	(40.0, 1067261.0)	(41.0, 1102060.5)	(42.0, 1171111.5)	(43.0, 1196787.0)	(44.0, 1173230.0)	(45.0, 1171248.0)	(46.0, 1182046.5)	(47.0, 1212561.5)	(48.0, 1254653.5)	(49.0, 1191987.0)	(50.0, 1096665.0)	(51.0, 1076039.0)	(52.0, 1067779.0)	(53.0, 1028986.0)	(54.0, 993702.5)	(55.0, 1047227.0)	(56.0, 1100944.5)	(57.0, 1116885.0)	(58.0, 1094454.0)	(59.0, 1014511.5)	(60.0, 970167.5)	(61.0, 999106.0)	(62.0, 967662.5)	(63.0, 805329.0)	(64.0, 683532.0)	(65.0, 631313.0)	(66.0, 547097.5)	(67.0, 488115.5)	(68.0, 450610.5)	(69.0, 390662.0)	(70.0, 303077.0)	(71.0, 225415.0)	(72.0, 203215.0)	(73.0, 184725.5)	(74.0, 156285.0)	(75.0, 147463.5)	(76.0, 152416.0)	(77.0, 146402.5)	(78.0, 138453.5)	(79.0, 133463.0)	(80.0, 125851.5)	(81.0, 110854.5)	(82.0, 87018.5)	(83.0, 69173.0)	(84.0, 63688.0)	(85.0, 53625.0)	(86.0, 38991.5)	(87.0, 30009.0)	(88.0, 27717.5)	(89.0, 27185.0)	(90.0, 24383.5)	(91.0, 22630.0)	(92.0, 22278.5)	(93.0, 22986.5)	(94.0, 25672.5)	(95.0, 29939.0)	(96.0, 32314.0)	(97.0, 35603.5)	(98.0, 42752.0)	(99.0, 28291.0)	(100.0, 10064.0)
fastqc | HS05	(0.0, 33207.0)	(1.0, 16692.0)	(2.0, 161.0)	(3.0, 149.5)	(4.0, 154.5)	(5.0, 154.5)	(6.0, 123.5)	(7.0, 96.5)	(8.0, 100.5)	(9.0, 106.5)	(10.0, 116.0)	(11.0, 125.5)	(12.0, 130.5)	(13.0, 156.0)	(14.0, 195.5)	(15.0, 238.0)	(16.0, 292.5)	(17.0, 371.0)	(18.0, 539.5)	(19.0, 752.5)	(20.0, 915.0)	(21.0, 1245.5)	(22.0, 1888.0)	(23.0, 2603.0)	(24.0, 3173.0)	(25.0, 4362.5)	(26.0, 6571.5)	(27.0, 8938.0)	(28.0, 10901.0)	(29.0, 14017.5)	(30.0, 19272.5)	(31.0, 25279.0)	(32.0, 30180.5)	(33.0, 35976.5)	(34.0, 46292.0)	(35.0, 58324.5)	(36.0, 67663.5)	(37.0, 78064.0)	(38.0, 91020.5)	(39.0, 105829.5)	(40.0, 118714.0)	(41.0, 131496.5)	(42.0, 152241.5)	(43.0, 187883.5)	(44.0, 212381.5)	(45.0, 281154.0)	(46.0, 279301.5)	(47.0, 204182.5)	(48.0, 205061.0)	(49.0, 202147.5)	(50.0, 191103.5)	(51.0, 189740.5)	(52.0, 190036.0)	(53.0, 182855.5)	(54.0, 177077.5)	(55.0, 191323.0)	(56.0, 200796.0)	(57.0, 204982.0)	(58.0, 208370.5)	(59.0, 198224.5)	(60.0, 192518.5)	(61.0, 186572.5)	(62.0, 176756.0)	(63.0, 160501.5)	(64.0, 143873.0)	(65.0, 132128.0)	(66.0, 115008.0)	(67.0, 112672.0)	(68.0, 115233.0)	(69.0, 99172.5)	(70.0, 76018.5)	(71.0, 63070.5)	(72.0, 60756.5)	(73.0, 57801.0)	(74.0, 53890.5)	(75.0, 56939.0)	(76.0, 63057.0)	(77.0, 62583.0)	(78.0, 64965.5)	(79.0, 71718.5)	(80.0, 71811.5)	(81.0, 62688.0)	(82.0, 48139.0)	(83.0, 39541.0)	(84.0, 38796.5)	(85.0, 36242.0)	(86.0, 29318.5)	(87.0, 22993.5)	(88.0, 21849.5)	(89.0, 22385.5)	(90.0, 22057.5)	(91.0, 22618.5)	(92.0, 23483.0)	(93.0, 24655.5)	(94.0, 27591.5)	(95.0, 31781.5)	(96.0, 34000.5)	(97.0, 36942.5)	(98.0, 44147.0)	(99.0, 32941.5)	(100.0, 17542.0)
