Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
fastqc | CL08	(2.0, 8771.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 7.0)	(16.0, 133.0)	(17.0, 985.0)	(18.0, 2508.0)	(19.0, 4032.0)	(20.0, 9621.0)	(21.0, 28276.0)	(22.0, 67368.0)	(23.0, 128766.0)	(24.0, 218765.0)	(25.0, 358097.0)	(26.0, 567045.0)	(27.0, 855096.0)	(28.0, 1216406.0)	(29.0, 1654377.0)	(30.0, 2180150.0)	(31.0, 2886944.0)	(32.0, 4039649.0)	(33.0, 6559091.0)	(34.0, 15793796.0)	(35.0, 57671648.0)
fastqc | CL10	(2.0, 4983.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 64.0)	(17.0, 450.0)	(18.0, 1017.0)	(19.0, 1991.0)	(20.0, 4912.0)	(21.0, 14291.0)	(22.0, 34788.0)	(23.0, 71156.0)	(24.0, 130703.0)	(25.0, 226256.0)	(26.0, 370321.0)	(27.0, 568131.0)	(28.0, 817342.0)	(29.0, 1118335.0)	(30.0, 1481357.0)	(31.0, 1965793.0)	(32.0, 2757689.0)	(33.0, 4482112.0)	(34.0, 10957776.0)	(35.0, 39427064.0)
fastqc | CL11	(2.0, 7411.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 114.0)	(17.0, 689.0)	(18.0, 2093.0)	(19.0, 4076.0)	(20.0, 9849.0)	(21.0, 28154.0)	(22.0, 63345.0)	(23.0, 110827.0)	(24.0, 168848.0)	(25.0, 254227.0)	(26.0, 383036.0)	(27.0, 569132.0)	(28.0, 806146.0)	(29.0, 1093643.0)	(30.0, 1440378.0)	(31.0, 1906886.0)	(32.0, 2667323.0)	(33.0, 4306348.0)	(34.0, 10447313.0)	(35.0, 43910062.0)
fastqc | CL12	(2.0, 7751.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 103.0)	(17.0, 687.0)	(18.0, 2097.0)	(19.0, 4055.0)	(20.0, 9997.0)	(21.0, 29777.0)	(22.0, 67533.0)	(23.0, 115941.0)	(24.0, 172570.0)	(25.0, 254767.0)	(26.0, 386438.0)	(27.0, 577219.0)	(28.0, 819083.0)	(29.0, 1104243.0)	(30.0, 1453788.0)	(31.0, 1919188.0)	(32.0, 2669065.0)	(33.0, 4290573.0)	(34.0, 10452828.0)	(35.0, 45642414.0)
fastqc | CL13	(2.0, 130722.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 29.0)	(13.0, 58.0)	(14.0, 25.0)	(15.0, 55.0)	(16.0, 590.0)	(17.0, 4069.0)	(18.0, 12050.0)	(19.0, 18990.0)	(20.0, 37922.0)	(21.0, 94494.0)	(22.0, 209674.0)	(23.0, 398373.0)	(24.0, 704110.0)	(25.0, 1174704.0)	(26.0, 1843602.0)	(27.0, 2714627.0)	(28.0, 3747926.0)	(29.0, 4906698.0)	(30.0, 6184043.0)	(31.0, 7695900.0)	(32.0, 9804098.0)	(33.0, 13533861.0)	(34.0, 22861670.0)	(35.0, 57309640.0)
fastqc | HS01	(2.0, 9671.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 8.0)	(13.0, 20.0)	(14.0, 18.0)	(15.0, 45.0)	(16.0, 156.0)	(17.0, 578.0)	(18.0, 1530.0)	(19.0, 3069.0)	(20.0, 7667.0)	(21.0, 23309.0)	(22.0, 59943.0)	(23.0, 128481.0)	(24.0, 253050.0)	(25.0, 454579.0)	(26.0, 755677.0)	(27.0, 1161113.0)	(28.0, 1662995.0)	(29.0, 2255912.0)	(30.0, 2957224.0)	(31.0, 3873206.0)	(32.0, 5326846.0)	(33.0, 8373959.0)	(34.0, 18283517.0)	(35.0, 44328780.0)
fastqc | HS02	(2.0, 28954.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 13.0)	(13.0, 34.0)	(14.0, 7.0)	(15.0, 25.0)	(16.0, 169.0)	(17.0, 1551.0)	(18.0, 4670.0)	(19.0, 8976.0)	(20.0, 23420.0)	(21.0, 64389.0)	(22.0, 147428.0)	(23.0, 284759.0)	(24.0, 502990.0)	(25.0, 847960.0)	(26.0, 1341543.0)	(27.0, 1953375.0)	(28.0, 2676521.0)	(29.0, 3523734.0)	(30.0, 4478565.0)	(31.0, 5600431.0)	(32.0, 7147742.0)	(33.0, 9779830.0)	(34.0, 15626163.0)	(35.0, 30440605.0)
fastqc | HS03	(2.0, 7323.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 9.0)	(13.0, 16.0)	(14.0, 26.0)	(15.0, 53.0)	(16.0, 190.0)	(17.0, 651.0)	(18.0, 1671.0)	(19.0, 3180.0)	(20.0, 8757.0)	(21.0, 25441.0)	(22.0, 62524.0)	(23.0, 127010.0)	(24.0, 233854.0)	(25.0, 408599.0)	(26.0, 671393.0)	(27.0, 1032841.0)	(28.0, 1482048.0)	(29.0, 2014425.0)	(30.0, 2651986.0)	(31.0, 3479922.0)	(32.0, 4804770.0)	(33.0, 7617255.0)	(34.0, 17354894.0)	(35.0, 53121320.0)
fastqc | HS04	(2.0, 47509.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 7.0)	(14.0, 0.0)	(15.0, 23.0)	(16.0, 531.0)	(17.0, 5362.0)	(18.0, 17100.0)	(19.0, 24726.0)	(20.0, 31778.0)	(21.0, 53996.0)	(22.0, 101693.0)	(23.0, 180570.0)	(24.0, 298506.0)	(25.0, 469109.0)	(26.0, 700155.0)	(27.0, 987592.0)	(28.0, 1298489.0)	(29.0, 1626762.0)	(30.0, 1990864.0)	(31.0, 2420223.0)	(32.0, 2994676.0)	(33.0, 3894576.0)	(34.0, 5625648.0)	(35.0, 7391679.0)
fastqc | HS05	(2.0, 32552.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 2.0)	(14.0, 0.0)	(15.0, 53.0)	(16.0, 1076.0)	(17.0, 11471.0)	(18.0, 34228.0)	(19.0, 43918.0)	(20.0, 37380.0)	(21.0, 33508.0)	(22.0, 45663.0)	(23.0, 67734.0)	(24.0, 96204.0)	(25.0, 133863.0)	(26.0, 187076.0)	(27.0, 179370.0)	(28.0, 187945.0)	(29.0, 248300.0)	(30.0, 271590.0)	(31.0, 303098.0)	(32.0, 348221.0)	(33.0, 444378.0)	(34.0, 743231.0)	(35.0, 1872938.0)
