Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastqc | CL08	(1.0, 19.34767765234811)	(2.0, 8.537475435100406)	(3.0, 4.70052536353266)	(4.0, 3.269684337326816)	(5.0, 2.434878386694671)	(6.0, 1.9378703780610458)	(7.0, 1.6008010659414702)	(8.0, 1.431024780159499)	(9.0, 1.1907401701445424)	('>10', 14.78736649406358)	('>50', 4.7686725657789495)	('>100', 10.60113239349042)	('>500', 3.9070046738728728)	('>1k', 6.399024693651323)	('>5k', 2.1240323247425064)	('>10k+', 12.962089285091091)
fastqc | CL10	(1.0, 27.639206373747033)	(2.0, 9.175008840662127)	(3.0, 4.403008797808701)	(4.0, 2.8416042020309953)	(5.0, 2.063312725168794)	(6.0, 1.675904639205101)	(7.0, 1.3545046451486622)	(8.0, 1.0743258079375246)	(9.0, 0.9768384787156531)	('>10', 10.356405019618787)	('>50', 3.163104196540964)	('>100', 6.6705096947378255)	('>500', 2.647042601715634)	('>1k', 7.929255876029038)	('>5k', 4.592512111900456)	('>10k+', 13.437455989032632)
fastqc | CL11	(1.0, 28.59202952386316)	(2.0, 9.503904796075261)	(3.0, 4.681282382882522)	(4.0, 3.0557955856633687)	(5.0, 2.231302275324926)	(6.0, 1.8096113509041598)	(7.0, 1.5046504022343001)	(8.0, 1.2022211612883207)	(9.0, 0.9850002719997277)	('>10', 11.650893271293949)	('>50', 3.407009627093676)	('>100', 7.047983995945646)	('>500', 2.7229564362282557)	('>1k', 6.995955700061539)	('>5k', 3.2793365218774797)	('>10k+', 11.330066697263833)
fastqc | CL12	(1.0, 28.29231768843416)	(2.0, 9.43488899359905)	(3.0, 4.952164642936776)	(4.0, 3.464823344655522)	(5.0, 2.5455249813194243)	(6.0, 1.9583389005048537)	(7.0, 1.6792120710475298)	(8.0, 1.4129013044004637)	(9.0, 1.194399053663019)	('>10', 13.693015668672114)	('>50', 4.157009405091336)	('>100', 8.619434577624714)	('>500', 2.9645066975059895)	('>1k', 4.952339786667338)	('>5k', 1.5664284920070048)	('>10k+', 9.112694391870747)
fastqc | CL13	(1.0, 32.02376951844296)	(2.0, 8.556571835906375)	(3.0, 4.378806865749367)	(4.0, 2.8614169103043263)	(5.0, 2.1904876412624765)	(6.0, 1.7568585819224543)	(7.0, 1.4944061990362365)	(8.0, 1.2586457464201184)	(9.0, 1.1514595196894224)	('>10', 13.842116479702076)	('>50', 3.9250076730605974)	('>100', 7.112100437962411)	('>500', 2.2367471797826366)	('>1k', 4.361273312755431)	('>5k', 1.9237788665918372)	('>10k+', 10.926553231411154)
fastqc | HS01	(1.0, 25.3392011232001)	(2.0, 9.276995121041665)	(3.0, 4.602145134416995)	(4.0, 2.866206656283612)	(5.0, 2.076317451528102)	(6.0, 1.7121592556853855)	(7.0, 1.4228917571956536)	(8.0, 1.1743001755054194)	(9.0, 1.036045167828543)	('>10', 11.2799998867379)	('>50', 3.28908687254469)	('>100', 7.4621716540576175)	('>500', 2.87840339900167)	('>1k', 6.706225657340805)	('>5k', 3.4551448859491636)	('>10k+', 15.422705801682406)
fastqc | HS02	(1.0, 30.17012220175449)	(2.0, 10.878653355762651)	(3.0, 6.080062897516261)	(4.0, 3.8161429089174734)	(5.0, 2.712320438166772)	(6.0, 2.236166601856068)	(7.0, 1.7549934605739261)	(8.0, 1.486673846526168)	(9.0, 1.2521388363745098)	('>10', 13.714212284754627)	('>50', 3.741099525431219)	('>100', 7.665235582054273)	('>500', 2.4546018426334952)	('>1k', 3.5654757887096182)	('>5k', 1.315957390735216)	('>10k+', 7.1561430382335836)
fastqc | HS03	(1.0, 32.13621950114658)	(2.0, 13.479173993884913)	(3.0, 6.19679121271643)	(4.0, 3.575114894008408)	(5.0, 2.4233896258538867)	(6.0, 1.6992995654361698)	(7.0, 1.4504060285165097)	(8.0, 1.139950333765217)	(9.0, 1.0095697441670066)	('>10', 10.50775338030502)	('>50', 2.924906420670553)	('>100', 5.988829008347356)	('>500', 2.0164439036516364)	('>1k', 4.190595420753924)	('>5k', 2.092497839660322)	('>10k+', 9.169059127115807)
fastqc | HS04	(1.0, 41.849756274920416)	(2.0, 10.492465505623612)	(3.0, 5.050928801882324)	(4.0, 3.120235256368464)	(5.0, 2.1507401545017304)	(6.0, 1.608942813445665)	(7.0, 1.1977188223285493)	(8.0, 1.0319273051740256)	(9.0, 0.890407878126909)	('>10', 9.67210354610408)	('>50', 3.2450161972904366)	('>100', 5.895100960107277)	('>500', 1.791004001957391)	('>1k', 4.488961534546871)	('>5k', 2.0607974641676545)	('>10k+', 5.4538934834546176)
fastqc | HS05	(1.0, 41.325030711054545)	(2.0, 9.710031858611776)	(3.0, 3.788966367262573)	(4.0, 2.0967127724695027)	(5.0, 1.3935279349875949)	(6.0, 1.0257095523818074)	(7.0, 0.8412794547388396)	(8.0, 0.721652370244317)	(9.0, 0.5995198285783832)	('>10', 7.486858410482091)	('>50', 2.574282612047067)	('>100', 6.329216237708504)	('>500', 3.3981346717856664)	('>1k', 7.42196866215197)	('>5k', 2.334826012067885)	('>10k+', 8.952282543427465)
