Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastqc | CL08	CL08.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94251532.0	7 Gbp	0.0	35-75	53.0	28.282918773072836	74.49919337120164	75	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
fastqc | CL10	CL10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64436537.0	4.8 Gbp	0.0	35-75	52.0	36.18980969009314	74.51151436024564	75	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
fastqc | CL11	CL11.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68179906.0	5 Gbp	0.0	35-75	50.0	37.62565912735664	74.46793996753237	75	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
fastqc | CL12	CL12.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69980123.0	5.2 Gbp	0.0	35-75	50.0	37.76881225135168	74.46369312611812	75	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
fastqc | CL13	CL13.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133387934.0	9.8 Gbp	0.0	35-75	49.0	40.55445908767855	73.84977352599223	75	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
fastqc | HS01	HS01.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89921353.0	6.6 Gbp	0.0	35-75	50.0	34.106002817547854	74.47977032774406	75	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
fastqc | HS02	HS02.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84483855.0	6.2 Gbp	0.0	35-75	48.0	40.94361703801776	74.27136176491946	75	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
fastqc | HS03	HS03.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95110159.0	7 Gbp	0.0	35-75	47.0	43.72828710379808	74.47828267220119	75	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
fastqc | HS04	HS04.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30161579.0	2.1 Gbp	0.0	35-75	49.0	51.26279173941845	72.73567113313266	75	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
fastqc | HS05	HS05.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5323802.0	386.9 Mbp	0.0	35-75	57.0	49.17205703433164	72.67510869111962	75	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
