Sample	kallisto-percent_aligned	kallisto-pseudoaligned_reads	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
fastqc | CL08			71.71708122692716	53.0	74.49919337120164	75	30.0	94.251532
fastqc | CL10			63.81019030990686	52.0	74.51151436024564	75	30.0	64.436537
fastqc | CL11			62.37434087264336	50.0	74.46793996753237	75	30.0	68.179906
fastqc | CL12			62.23118774864832	50.0	74.46369312611812	75	30.0	69.98012299999999
fastqc | CL13			59.44554091232145	49.0	73.84977352599223	75	30.0	133.387934
fastqc | HS01			65.89399718245215	50.0	74.47977032774406	75	30.0	89.921353
fastqc | HS02			59.05638296198224	48.0	74.27136176491946	75	20.0	84.48385499999999
fastqc | HS03			56.27171289620192	47.0	74.47828267220119	75	20.0	95.110159
fastqc | HS04			48.73720826058155	49.0	72.73567113313266	75	10.0	30.161579
fastqc | HS05			50.82794296566836	57.0	72.67510869111962	75	40.0	5.323802
kallisto | CL08	68.5480836534307	64.607619						
kallisto | CL10	52.80911201047319	34.028363						
kallisto | CL11	55.11719684682463	37.578852999999995						
kallisto | CL12	66.29023501430542	46.389987999999995						
kallisto | CL13	59.75095618468759	79.700566						
kallisto | HS01	53.419619920532114	48.035644999999995						
kallisto | HS02	69.85568307696187	59.016774						
kallisto | HS03	49.53888259192165	47.11651						
kallisto | HS04	63.00258351858833	19.002574						
kallisto | HS05	49.15534048786938	2.616933						
